鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,新北市土城區中央路二段６１巷１３號二十五樓,23.31,都市：其他:第二種商業區,,,1100715,土地1建物1車位1,二十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061213,163.45,3,2,2,有,有,20050000,141912,坡道平面,38.02,2250000,,RPUSMLNLPHGGFAF68DA,77.76,11.71,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區中華路一段２１９號十四樓,24.64,都市：其他:商業區,,,1100903,土地1建物1車位1,十四層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,199.01,1,0,0,有,有,23880000,135400,坡道平面,39.63,2300000,,RPSRMLRJRHGGFAF78DA,87.53,16.98,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區日和街１５號十八樓,24.28,都市：其他:商業區,,,1100905,土地1建物1車位1,十八層,三十二層,住宅大樓(11層含以上有電梯),辦公用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,196.41,1,0,0,有,有,20850000,118319,坡道平面,39.63,2300000,工程折讓12萬元,RPWRMLRJRHGGFAF56DA,87.87,14.84,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區日和街２５號三十一樓,37.75,都市：其他:商業區,,,1100830,土地1建物1車位2,三十一層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造,1081120,320.83,3,2,3,有,有,39980000,147287,坡道平面,79.26,4400000,,RPWNMLMJRHGGFAF28DA,133.87,24.42,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路３６１號五樓,23.71,都市：其他:第二種住宅區,,,1080701,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100823,164.16,3,2,2,有,有,17350000,120420,坡道平面,38.35,2200000,預售屋、或土地及建物分件登記案件；,RPPRMLKKRHGGFAF87DA,76.88,7.78,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路３６１號六樓,23.71,都市：其他:第二種住宅區,,,1080622,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100823,164.16,3,2,2,有,有,17100000,120022,坡道平面,38.35,2000000,預售屋、或土地及建物分件登記案件；,RPQRMLKKRHGGFAF97DA,76.88,7.78,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路３６１號七樓,23.71,都市：其他:第二種住宅區,,,1080713,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100823,164.16,3,2,2,有,有,17300000,120022,坡道平面,38.35,2200000,預售屋、或土地及建物分件登記案件；,RPSRMLKKRHGGFAF18DA,76.88,7.78,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路３６１號十一樓,23.71,都市：其他:第二種住宅區,,,1080615,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100823,164.16,3,2,2,有,有,17100000,120022,坡道平面,38.35,2000000,預售屋、或土地及建物分件登記案件；,RPXRMLKKRHGGFAF68DA,76.88,7.78,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路３６１號十四樓,23.71,都市：其他:第二種住宅區,,,1090618,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100823,164.16,3,2,2,有,有,17900000,124791,坡道平面,38.35,2200000,預售屋、或土地及建物分件登記案件；,RPUSMLKKRHGGFAF48DA,76.88,7.78,0.0,有,
