鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段３１號七樓,43.38,都市：其他:第三種住宅區。,,,1100718,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980330,178.37,3,2,2,有,有,27280000,152941,升降機械,13.25,0,其他增建；,RPPTMLTJRHGGFAA38DA,104.72,12.26,0.0,有,
文山區,土地,景美段四小段605-2地號,24.75,都市：其他:道路用地(公共設施用地)。62/10/24,,,1100924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1195425,48300,,0.0,0,110年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPUPMLOKRHGGFAA08DA,0.0,0.0,0.0,無,001
文山區,房地(土地+建物)+車位,臺北市文山區興順街１５５之４號七樓,28.89,都市：其他:第三種住宅區。,,,1100822,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890324,141.01999999999998,3,2,2,有,有,23000000,163097,坡道平面,36.13,0,其他增建；,RPPOMLPKRHGGFAA57DA,72.84,7.6,0.0,有,
文山區,房地(土地+建物),臺北市文山區景福街３６號,24.31,都市：其他:第三種住宅區。,,,1100814,土地2建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720729,123.71,2,2,1,有,有,23300000,188344,,0.0,0,其他增建；,RPROMLPKRHGGFAA77DA,82.67,12.07,0.0,有,
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路七段８４巷７號七樓,24.18,都市：其他:第三種住宅區。,,,1100807,土地2建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891025,111.42000000000002,2,2,2,有,有,16580000,148806,坡道機械,0.0,0,陽台外推；其他增建；,RPWOMLQKRHGGFAA38DA,62.3,5.6,0.0,有,
文山區,房地(土地+建物),臺北市文山區和興路２６巷７號二樓之１,19.27,都市：其他:第三種住宅區。,,,1100905,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980317,82.7,2,1,1,有,有,14600000,176542,,0.0,0,陽台外推；其他增建；,RPRPMLNLRHGGFAA77DA,45.92,6.36,0.0,有,
中正區,土地,福和段二小段76-1地號,0.05,都市：其他:道路用地(公共設施用地)。69/7/17,,,1100928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1707,0,,0.0,0,110年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPUNMLSLRHGGFAA38DA,0.0,0.0,0.0,無,002
文山區,房地(土地+建物),臺北市文山區羅斯福路五段２１８巷９弄１號四樓,25.98,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之壹種住宅區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100818,土地7建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0711220,85.09,2,2,2,有,無,14200000,166882,,0.0,0,其他增建；,RPSOMLQJIIGGFAA07DA,76.75,8.34,0.0,無,
大同區,房地(土地+建物),臺北市大同區民權西路１３６號十五樓之９,4.79,都市：其他:第四種住宅區。,,,1100905,土地2建物1車位0,十五層,十八層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790323,53.2,1,1,1,有,無,8600000,161654,,0.0,0,,RPSOMLTLRHGGFBA48DA,32.12,1.87,0.0,有,003
中山區,房地(土地+建物),臺北市中山區林森北路１０７巷２３號,32.0,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種住宅區)。,,,1100702,土地1建物2車位0,一層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0760825,152.91,0,2,2,有,有,45000000,294291,,0.0,0,其他增建；,RPQOMLRKRHGGFCA08DA,133.77,11.37,0.0,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區陽光街１０１號三樓之３,46.42,都市：其他:第二種住宅區。,,,1100904,土地1建物1車位1,三層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080716,94.14,2,1,1,有,有,25410000,261486,塔式車位,2.51,1450000,,RPQSMLOKRHGGFCA18DA,45.6,9.41,0.0,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區陽光街１０１號二樓之２,36.1,都市：其他:第二種住宅區。,,,1100906,土地1建物1車位1,二層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080716,73.73,2,1,1,有,有,19610000,257091,塔式車位,2.51,1300000,,RPSNMLPKRHGGFCA97DA,37.14,5.61,0.0,有,
內湖區,房地(土地+建物),臺北市內湖區港墘路５號二樓,25.28,都市：其他:第三種住宅區。,,,1100823,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730320,101.61,3,2,2,有,無,16680000,164157,,0.0,0,陽台外推；,RPXPMLKMRHGGFCA38DA,76.34,12.88,0.0,無,
中山區,房地(土地+建物),臺北市中山區長春路６２號十二樓之１０,2.82,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1100906,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0690403,28.96,1,1,1,有,有,4950000,170925,,0.0,0,,RPWOMLLJIIGGFCA17DA,19.57,3.57,0.0,有,004
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路一段３號九樓,30.76,都市：其他:第三之一種住宅區。,,,1090726,土地2建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071109,234.04000000000002,3,2,2,有,有,69580000,332401,坡道平面,33.74,3000000,含裝潢費；含傢俱設備費；,RPUQMLPJIIGGFCA57DA,117.99,16.04,0.0,有,
中山區,房地(土地+建物),臺北市中山區中山北路一段８３巷５號八樓之５,3.84,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100908,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0670116,33.68,1,1,1,有,有,5400000,160333,,0.0,0,陽台外推；其他增建；,RPQSMLQJIIGGFCA47DA,20.65,6.79,0.0,有,
松山區,房地(土地+建物)+車位,臺北市松山區寶清街１０３之９號五樓,28.09,都市：其他:第三種住宅區。,,,1100718,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,191.70999999999998,4,2,2,有,有,39200000,204476,坡道平面,24.55,0,,RPQOMLLJRHGGFDA47DA,88.83,21.83,0.0,有,
信義區,房地(土地+建物),臺北市信義區信義路六段１５巷１３號二樓,23.17,都市：其他:第三之一種住宅區。,,,1100801,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710326,106.53,3,2,1,有,無,22500000,211208,,0.0,0,陽台外推；,RPXQMLNJRHGGFDA58DA,84.02,8.64,0.0,有,
信義區,土地,永春段一小段284地號,64.5,都市：其他:道路用地(公共設施用地)。51/9/1,,,1100924,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3076650,47700,,0.0,0,110年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPVRMLOKRHGGFDA68DA,0.0,0.0,0.0,無,
信義區,土地,吳興段三小段204地號,8.37,都市：其他:道路用地(公共設施用地)。,,,1100924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,288271,34441,,0.0,0,110年度臺北市政府以容積代金基金採購私有公共設施保留地包含公共設施保留地用地；,RPXOMLPKRHGGFDA68DA,0.0,0.0,0.0,無,
