鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物),臺中市南區信義南街１０９號２１樓之１,14.6,都市：其他:第二種住宅區,,,1100801,土地2建物1車位0,二十一層，二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851211,196.6,3,2,2,有,有,7200000,36623,,0.0,0,其他增建；,RPSRMLNLQHGGFAB08DA,84.82,68.0,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區大慶街二段６－１６巷６１號５樓之１,14.15,都市：其他:第二種商業區,,,1100831,土地1建物1車位1,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840525,129.36,4,2,2,有,有,8350000,64549,坡道平面,0.0,0,其他增建；,RPQPMLLKRHGGFAB47DA,79.45,9.77,0.0,有,
南區,車位,臺中市南區學府路１３５巷１－５．１２５－１３３之１０號地下二層三層．信義南街８３－１１１號．８１巷２－５８號地下三層,0.0,,,,1100802,土地0建物1車位1,地下二層，地下三層,二十四層,其他,防空避難室兼停車空間、停車空間,鋼筋混凝土造,0851211,15.33,0,0,0,有,無,500000,,坡道機械,15.32,500000,僅車位交易；,RPTNMLOKRHGGFAB87DA,0.0,0.0,0.0,無,0001
南區,房地(土地+建物),臺中市南區忠明南路８１９號８樓之７,5.56,都市：其他:第二種住宅區,,,1100903,土地2建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931224,80.89,2,2,1,有,有,6060000,74917,,0.0,0,,RPXQMLQKRHGGFAB78DA,55.7,4.24,0.0,有,0002
中區,房地(土地+建物),臺中市中區公園路３８號１０樓之３４,3.32,都市：其他:第二種商業區,,,1100909,土地2建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701231,25.330000000000002,1,0,1,有,有,1100000,43427,,0.0,0,,RPSPMLOLRHGGFAB08DA,17.38,3.51,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區三民西路３６３號８樓,12.53,都市：其他:第一種商業區,,,1100901,土地2建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941011,150.97,3,2,2,有,有,13220000,87567,坡道平面,25.66,0,陽台外推；,RPTPMLRLRHGGFAB48DA,81.32,11.4,0.0,有,0003
西區,房地(土地+建物)+車位,臺中市西區美村路一段８０６號１１樓之２,17.86,都市：其他:第二種住宅區,,,1100905,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830630,161.67000000000002,3,2,2,有,有,10420000,64452,坡道平面,0.0,0,陽台外推；,RPRQMLLJIIGGFAB76DA,103.67,11.41,0.0,有,
南區,房地(土地+建物)+車位,臺中市南區忠明南路８１７號４樓之１,10.49,都市：其他:第二種住宅區,,,1100905,土地2建物1車位1,四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931224,152.53,4,2,2,有,有,10900000,71461,其他,0.0,0,,RPUSMLLJIIGGFAB27DA,90.61,12.71,0.0,有,
西區,房地(土地+建物)+車位,臺中市西區中興街３３號九樓之２,39.58,都市：其他:第二種住宅區,,,1100906,土地1建物1車位2,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080131,254.41000000000003,3,2,2,有,有,26800000,122888,坡道平面,65.62,3600000,,RPVRMLOJIIGGFAB57DA,98.26,27.47,0.0,有,
中區,房地(土地+建物),臺中市中區臺灣大道一段３０６巷３５號四樓之１７,3.75,都市：其他:第一種商業區,,,1100930,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0820827,35.76,1,0,1,有,有,1624500,45428,,0.0,0,,RPVPMLQJIIGGFAB57DA,23.0,0.0,0.0,有,
西區,房地(土地+建物),臺中市西區五權西五街８８巷４４號,47.0,都市：其他:第二種住宅區,,,1100901,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,,54.0,1,2,2,有,無,8750000,162037,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPVOMLQJIIGGFAB47DA,54.0,0.0,0.0,無,0004
北區,房地(土地+建物),臺中市北區北屯路２２之２號８樓之３,14.99,都市：其他:第一種商業區,,,1100821,土地1建物2車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680109,83.38,1,1,2,有,無,3840000,46054,,0.0,0,,RPOOMLLLQHGGFBB27DA,83.38,0.0,0.0,有,
北區,房地(土地+建物),臺中市北區北平三街２之１號,29.14,都市：其他:第二種住宅區,,,1100822,土地4建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730411,87.41,2,2,2,有,有,6500000,74362,,0.0,0,陽台外推；,RPSNMLMLQHGGFBB67DA,76.99,10.42,0.0,有,
北屯區,房地(土地+建物),臺中市北屯區軍福十三路１２５號五樓之６,13.76,都市：其他:第三種住宅區。,,,1100822,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030915,68.58,2,2,2,有,有,5700000,83115,,0.0,0,夾層；,RPUQMLNLQHGGFBB28DA,41.62,4.75,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區太祥路１１１號,124.67,都市：其他:第一種住宅區,,,1100810,土地3建物1車位3,全,四層,透天厝,住家用,鋼筋混凝土造,1080124,425.89,5,3,7,有,無,43990000,103290,坡道平面,0.0,0,,RPXQMLLJRHGGFBB28DA,375.9,19.46,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福七路３６號十樓之１１,18.24,都市：其他:第二種住宅區,,,1100908,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001111,109.7,2,2,1,有,有,8100000,75172,坡道機械,15.25,1000000,,RPUPMLSJRHGGFBB58DA,56.35,9.13,0.0,有,0005
北區,房地(土地+建物),臺中市北區德化街１１５之２號,24.81,都市：其他:第二種住宅區,,,1100903,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680718,84.69,3,2,2,有,無,3900000,46050,,0.0,0,,RPTOMLTJRHGGFBB48DA,84.69,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區國泰街４４之５號,24.89,都市：其他:第二種住宅區,,,1100823,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770210,106.83000000000001,3,2,2,有,有,4500000,42123,,0.0,0,,RPRQMLLKRHGGFBB77DA,80.32,9.55,0.0,無,0006
北區,房地(土地+建物)+車位,臺中市北區太原路二段１號八樓之２,32.42,,,,1100914,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021022,225.07,3,2,3,有,有,20650000,98871,坡道機械,36.44,2000000,,RPPRMLOKRHGGFBB97DA,111.76,17.78,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段６３３號五樓之１０,9.66,都市：其他:第三之一種商業區,,,1090415,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100727,105.99000000000001,2,2,1,有,有,6380000,65547,坡道機械,20.86,800000,本案於民國 110年 04月  26日讓渡，讓渡金額為760萬元整。預售屋、或土地及建物分件登記案件；,RPVTMLOKRHGGFBB78DA,49.73,5.72,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段６３３號七樓之１,12.05,都市：其他:第三之一種商業區,,,1100131,土地1建物1車位1,七層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100727,153.52999999999997,2,2,1,有,有,9180000,70924,坡道平面,41.72,1250000,預售屋、或土地及建物分件登記案件；,RPUUMLOKRHGGFBB78DA,62.01,10.81,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段６３３號八樓之１,12.05,都市：其他:第三之一種商業區,,,1090804,土地1建物1車位1,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100727,153.6,2,2,1,有,有,9080000,69986,坡道平面,41.72,1250000,預售屋、或土地及建物分件登記案件；,RPRQMLPKRHGGFBB18DA,62.01,10.88,0.0,有,
北屯區,土地,大仁段392地號,134.13,都市：其他:住宅區,,,1100915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2722839,20300,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUSMLPKRHGGFBB68DA,0.0,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段６３３號九樓之１,12.05,都市：其他:第三之一種商業區,,,1091123,土地1建物1車位1,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100727,153.52999999999997,2,2,1,有,有,9120000,70387,坡道平面,41.72,1250000,預售屋、或土地及建物分件登記案件；,RPVSMLPKRHGGFBB78DA,62.01,10.81,0.0,有,
