鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
中西區,房地(土地+建物),臺南市中西區健康路一段３９０巷３１號七樓之３,19.63,都市：其他:住宅區,,,1100718,土地3建物1車位0,七層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0721210,113.34,3,2,2,有,有,3450000,30439,,0.0,0,,RPPPMLLKQHGGFAD47DA,91.56,7.77,0.0,有,
中西區,土地,郡王祠段1382地號,145.64,都市：其他:住宅區,,,1100826,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18257880,125363,,0.0,0,,RPRQMLKMQHGGFAD87DA,0.0,0.0,0.0,無,0001
安平區,房地(土地+建物),臺南市安平區健康三街５９２巷５５號二十一樓之１,4.73,都市：其他:商業區,,,1100908,土地1建物1車位0,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861022,91.59,2,1,2,有,有,5500000,60050,,0.0,0,,RPPNMLSKRHGGFAD08DA,63.9,4.41,0.0,有,0002
安平區,房地(土地+建物)+車位,臺南市安平區健康路三段７００號六樓之１,51.17,都市：其他:住宅區,,,1100830,土地1建物1車位2,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1081125,360.64,3,2,3,有,有,32300000,89563,坡道平面,69.42,0,,RPWOMLSLRHGGFAD98DA,155.29,25.51,0.0,有,0003
北區,房地(土地+建物)+車位,臺南市北區文成三路３０３號七樓之２,28.32,都市：其他:住宅區,,,1080722,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100623,159.74,4,2,2,有,有,11590000,70845,坡道平面,16.61,1450000,預售屋、或土地及建物分件登記案件；,RPQNMLMJIIGGFAD66DA,80.88,12.15,0.0,有,
北區,房地(土地+建物)+車位,臺南市北區文成三路３０５號十三樓之５,24.74,都市：其他:住宅區,,,1090321,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,1100623,141.66,3,2,2,有,有,10570000,73331,坡道平面,16.61,1400000,預售屋、或土地及建物分件登記案件；,RPPOMLMJIIGGFAD66DA,69.44,11.86,0.0,有,
北區,房地(土地+建物)+車位,臺南市北區北門路二段５７７巷１１號六樓之１,31.08,都市：其他:住宅區,,,1100917,土地1建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930521,144.38,3,2,2,有,有,5000000,34631,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPQMLOJIIGGFAD07DA,86.94,11.27,0.0,有,
北區,房地(土地+建物),臺南市北區中華北路二段２１０號,87.92,都市：其他:住宅區,,,1100821,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0961130,237.87,5,3,4,有,無,18750000,78825,,0.0,0,頂樓加蓋；其他增建；,RPUNMLPJIIGGFAD37DA,207.39,30.48,0.0,無,
安平區,房地(土地+建物),臺南市安平區郡平路１８１號三樓之２０,17.31,都市：其他:住宅區,,,1100902,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880622,159.3,4,2,2,有,有,6980000,43817,,0.0,0,,RPXPMLPJIIGGFAD87DA,110.6,15.01,0.0,有,
