鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東二路１３２巷２２號,41.88,都市：其他:特定第五種住宅區,,,1100902,土地1建物1車位1,一層，二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930805,285.63,4,2,3,有,有,24100000,84375,坡道平面,20.63,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPROMLTJRHGGFAE48DA,187.6,4.49,0.0,有,0001
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路９５３號二十二樓之１,21.5,都市：其他:第五種住宅區,,,1100913,土地1建物1車位1,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840503,318.55,5,2,3,有,有,12000000,37671,坡道平面,0.0,0,,RPTNMLOLRHGGFAE28DA,159.93,67.23,0.0,有,
前金區,房地(土地+建物),高雄市前金區七賢二路３６６號五樓之３,9.53,都市：其他:第五種商業區,,,1100907,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850802,113.39,2,2,2,有,有,5500000,48505,,0.0,0,,RPRQMLRLRHGGFAE68DA,74.99,9.96,0.0,有,
鼓山區,房地(土地+建物),高雄市鼓山區美明路３２號三樓之１,11.94,都市：其他:特定第五種住宅區,,,1100806,土地1建物1車位0,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940526,79.24,1,1,1,有,有,5950000,75088,,0.0,0,,RPTNMLKMRHGGFAE97DA,49.95,6.16,0.0,有,0002
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路６３號十六樓,17.03,都市：其他:特定第五種住宅區,,,1100827,土地1建物1車位1,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1090327,182.17000000000002,3,2,2,有,有,15180000,84409,坡道平面,27.21,2100000,,RPOPMLLJIIGGFAE66DA,76.82,24.21,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路６３號十三樓,16.83,都市：其他:特定第五種住宅區,,,1100824,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1090327,180.41,3,2,2,有,有,14500000,79634,坡道平面,27.21,2300000,,RPQPMLLJIIGGFAE86DA,76.82,23.07,0.0,有,
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路６１號八樓,21.22,都市：其他:特定第五種住宅區,,,1100907,土地1建物1車位1,八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1090327,220.39,4,2,2,有,有,17700000,79718,坡道平面,27.21,2300000,,RPRPMLLJIIGGFAE96DA,100.28,25.67,0.0,有,
鼓山區,房地(土地+建物),高雄市鼓山區美術南五街１９０號十四樓,10.3,都市：其他:特定第五種住宅區,,,1100901,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940616,87.0,2,2,1,有,有,6300000,72414,,0.0,0,陽台外推；,RPPNMLQJIIGGFAE07DA,49.62,11.34,0.0,有,
鼓山區,房地(土地+建物),高雄市鼓山區逢甲路１０６號四樓之３,28.0,都市：其他:第三種住宅區。,,,1100831,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,0690716,97.04,4,2,2,有,無,3120000,32152,,0.0,0,,RPVNMLQJIIGGFAE67DA,97.04,0.0,0.0,無,
