鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
五結鄉,土地,大吉三段1257-4地號,1629.05,,特定農業區,丁種建築用地,1100805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26857055,16486,,0.0,0,,RPTNMLNJQHGGFAG08DA,0.0,0.0,0.0,無,
五結鄉,土地,大吉三段1257-7地號,168.69,,特定農業區,丁種建築用地,1100805,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1836645,10888,,0.0,0,,SPTNMLNJQHGGFAG18DA,0.0,0.0,0.0,無,001
蘇澳鎮,土地,龍德段364地號,365.0,,工業區,丁種建築用地,1100812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,15068,,0.0,0,,RPXNMLPLQHGGFAG88DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉武罕二路１４５巷５７號,77.85,,特定農業區,甲種建築用地,1100808,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100203,172.58,4,2,5,有,無,8500000,49253,,0.0,0,,RPSOMLQJRHGGFAG48DA,157.17,15.41,0.0,無,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路二段１３７號,96.0,都市：其他:住宅區,,,1100717,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0681214,255.34,4,3,5,有,無,19200000,75194,,0.0,0,其他增建 ：一樓空地頂樓加蓋；其他增建；,RPSNMLOLRHGGFAG38DA,255.34,0.0,0.0,無,002
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉幸福五路６３５號,91.53,,特定農業區,甲種建築用地,1100717,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100701,195.44,4,2,5,有,無,8600000,44003,,0.0,0,,RPPOMLPKRHGGFAG18DA,188.26,7.18,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉順安路１６５號四樓,33.47,,特定農業區,甲種建築用地,1100914,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840410,114.24,3,1,2,有,無,4380000,38340,,0.0,0,,RPPPMLLJIIGGFAG96DA,89.75,21.44,0.0,有,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南宜一路１５號四樓之４,13.95,都市：其他:住宅區,,,1100923,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820915,74.44999999999999,2,1,1,有,有,3350000,44997,,0.0,0,,RPWNMLQJIIGGFAG97DA,47.96,5.34,0.0,有,003
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉五結中路三段６６６號六樓之１,21.53,都市：其他:商業區,,,1100903,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080711,111.47999999999999,1,1,1,有,有,6800000,76757,坡道平面,37.22,1100000,,RPVNMLRJIIGGFAG97DA,44.61,5.26,0.0,有,
三星鄉,土地,義德段754地號,1212.35,都市：其他:住宅區,,,1100716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23837450,19662,,0.0,0,,RPXNMLRJIIGGFAG18DA,0.0,0.0,0.0,無,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大坑六路５７巷３號,120.0,,特定農業區,甲種建築用地,1100830,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050628,124.32,3,1,3,有,無,6000000,48263,,0.0,0,,RPTNMLRJIIGGFAG77DA,121.11,3.21,0.0,無,004
三星鄉,土地,二萬五段748地號,1492.8,,特定農業區,農牧用地,1080628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,3349,,0.0,0,土地為配建，有未登記建物由權利人出資興建未登記建物；,RPSNMLSJIIGGFAG77DA,0.0,0.0,0.0,無,
三星鄉,房地(土地+建物),宜蘭縣三星鄉大坑五路１２號,3577.0,,特定農業區,農牧用地,1100908,土地2建物1車位0,全,一層,透天厝,農業用,鋼骨造,1011128,114.77,0,0,0,無,無,14500000,126340,,0.0,0,,RPXNMLSJIIGGFAG28DA,114.77,0.0,0.0,無,005
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮愛國路７５巷１弄９號,38.5,都市：其他:住宅區,,,1100927,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,48.19,4,2,2,有,無,2600000,53953,,0.0,0,,RPOOMLSJIIGGFAG47DA,48.19,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉大興路１２２號,74.03,,特定農業區,甲種建築用地,1100910,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700203,123.22,2,2,2,有,無,2000000,16231,,0.0,0,,RPVNMLSJIIGGFAG08DA,123.22,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市東港路一段１８６巷２２弄１２號,68.0,都市：其他:農業區,,,1100819,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670328,94.3,5,2,2,有,無,6300000,66808,,0.0,0,1樓前後方增建、3樓增建其他增建；,RPPPMLQJRHGGFBG38DA,94.3,0.0,0.0,無,006
員山鄉,土地,外員段603-4地號,167.3,都市：其他:住宅區,,,1100727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,43036,,0.0,0,土地現況地上有農作物賣方應負責排除清空點交予買方接管使用。土地有部份被員山鄉金山西路247巷道路佔用賣方及仲介公司於銷售時已告知買方被佔用土地買賣雙方同意不補貼或扣除價金以現況點交。,RPQOMLOKRHGGFBG28DA,0.0,0.0,0.0,無,
壯圍鄉,土地,五權段1417地號,1838.0,,特定農業區,農牧用地,1100506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8900000,4842,,0.0,0,,RPPNMLPKRHGGFBG18DA,0.0,0.0,0.0,無,007
員山鄉,房地(土地+建物),宜蘭縣員山鄉惠深二路一段８２之６號,590.16,,特定農業區,農牧用地,1100820,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1020801,220.75,5,3,5,有,無,18000000,81540,,0.0,0,增建:一樓客廳增建其他增建；,RPVQMLKMRHGGFBG78DA,206.17,14.58,0.0,無,008
員山鄉,房地(土地+建物),宜蘭縣員山鄉賢德路二段１５７巷８２號,1708.45,,特定農業區,農牧用地,1100814,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土（ＲＣ）、鋼骨造,1000110,418.98,4,3,5,有,無,26730000,63798,,0.0,0,其他增建：一樓空地其他增建；,RPQNMLPLRHGGFBG38DA,401.02,17.96,0.0,有,
員山鄉,土地,東德段535-1地號,2503.21,,特定農業區,農牧用地,1100902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13600000,5433,,0.0,0,,RPSPMLSLRHGGFBG09DA,0.0,0.0,0.0,無,
宜蘭市,土地,宜商段9地號,112.95,都市：其他:道路用地,,,1100901,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,26560,,0.0,0,,RPOOMLPJIIGGFBG27DA,0.0,0.0,0.0,無,
員山鄉,土地,茄苳林段589-1地號,3022.12,,特定農業區,農牧用地,1100903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15540000,5142,,0.0,0,,RPPOMLPJIIGGFBG37DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市陽明三路５０號二樓,30.43,都市：其他:住宅區,,,1100907,土地5建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850215,159.2,3,2,2,有,有,5500000,34548,,0.0,0,含土地增值稅或其他稅費68868元；含仲介費；含地政士服務費；,RPSNMLQJIIGGFBG67DA,113.93,9.89,0.0,有,
