鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之１號二樓,20.51,都市：其他:第二種住宅區,,,1080429,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,147.21,3,2,2,有,有,9950000,67921,坡道平面,25.01,1650000,該契約於110年7月28日轉售，交易總價1025萬元。本案係信託財產 委託人：立燿建設股份有限公司   受託人：僑馥建築經理股份有限公司預售屋、或土地及建物分件登記案件；,RPWNMLKMPHGGFAH38DA,73.89,8.06,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之３號十二樓,25.65,都市：其他:第二種住宅區,,,1080331,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,177.95,4,2,2,有,有,11500000,64404,坡道平面,25.01,1650000,預售屋、或土地及建物分件登記案件；,RPTTMLKMPHGGFAH68DA,93.99,8.6,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之２號二樓,21.51,都市：其他:第二種住宅區,,,1080605,土地1建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,153.15,3,2,2,有,有,9010000,57437,坡道平面,25.01,1650000,本件為信託財產，委託人：立燿建設股份有限公司 統一編號：42752256，受託人：僑馥建築經理股份有限公司 統一編號：22959201。該契約於110年5月15日轉售，交易總價935萬元。預售屋、或土地及建物分件登記案件；,RPUTMLKMPHGGFAH78DA,75.94,10.01,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之２號三樓,21.51,都市：其他:第二種住宅區,,,1080423,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,151.21,3,2,2,有,有,9600000,62817,坡道平面,23.06,1550000,本件為信託財產，委託人：立燿建設股份有限公司 統一編號：42752256，受託人：僑馥建築經理股份有限公司 統一編號：22959201。該契約於110年3月8日轉售，交易總價960萬元。預售屋、或土地及建物分件登記案件；,RPVTMLKMPHGGFAH88DA,75.94,10.01,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之２號四樓,21.51,都市：其他:第二種住宅區,,,1080506,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,153.15,3,2,2,有,有,9700000,62822,坡道平面,25.01,1650000,預售屋、或土地及建物分件登記案件；,RPWTMLKMPHGGFAH98DA,75.94,10.01,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之２號六樓,21.51,都市：其他:第二種住宅區,,,1080309,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,153.15,3,2,2,有,有,9550000,62432,坡道平面,25.01,1550000,本件為信託財產，委託人：立燿建設股份有限公司 統一編號：42752256，受託人：僑馥建築經理股份有限公司 統一編號：22959201。該契約於109年4月8日轉售，交易總價955萬元。預售屋、或土地及建物分件登記案件；,RPXTMLKMPHGGFAH09DA,75.94,10.01,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之２號五樓,21.51,都市：其他:第二種住宅區,,,1080415,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,153.15,3,2,2,有,有,9570000,62588,坡道平面,25.01,1550000,預售屋、或土地及建物分件登記案件；,RPPUMLKMPHGGFAH38DA,75.94,10.01,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之２號七樓,21.51,都市：其他:第二種住宅區,,,1080127,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,151.21,3,2,2,有,有,9480000,62661,坡道平面,23.06,1450000,預售屋、或土地及建物分件登記案件；,RPQUMLKMPHGGFAH48DA,75.94,10.01,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐八街２５之２號九樓,21.51,都市：其他:第二種住宅區,,,1080129,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100825,151.21,3,2,2,有,有,9530000,63051,坡道平面,23.06,1450000,本件為信託財產，委託人：立燿建設股份有限公司 統一編號：42752256，受託人：僑馥建築經理股份有限公司 統一編號：22959201。該契約於109年11月27日轉售，交易總價990萬元。預售屋、或土地及建物分件登記案件；,RPSUMLKMPHGGFAH68DA,75.94,10.01,0.0,有,
