鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,房地(土地+建物),嘉義市嘉義市博東路１５２巷１０５號,91.0,都市：其他:住宅區,,,1100912,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0900404,233.1,3,3,3,有,無,11151248,47839,,0.0,0,含土地增值稅或其他稅費51248元；其他增建；,RPVOMLNKRHGGFAI78DA,187.67,45.43,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市南京路１２６巷５０號五樓之２,23.32,都市：其他:商業區,,,1100914,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740919,97.57000000000001,3,1,1,有,無,1800000,18448,,0.0,0,,RPRNMLQLRHGGFAI68DA,73.18,11.58,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市博愛路一段４９６巷２３號７樓１,19.89,都市：其他:住宅區,,,1100824,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800518,106.99000000000001,3,2,2,有,有,4800000,44864,,0.0,0,含裝潢費；含傢俱設備費；,RPWNMLKMRHGGFAI68DA,81.03,2.65,0.0,有,001
嘉義市,房地(土地+建物),嘉義市嘉義市民權路２５４號,103.0,都市：其他:住宅區,,,1101004,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0570726,172.64,4,2,2,有,無,13000000,75301,,0.0,0,,RPQNMLOJIIGGFAI37DA,172.64,0.0,0.0,無,
嘉義市,土地,八掌段551-9地號,718.15,都市：其他:農業區,,,1100911,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3258750,4538,,0.0,0,,RPSNMLRJIIGGFAI87DA,0.0,0.0,0.0,無,002
嘉義市,土地,八掌段551-10地號,1942.61,都市：其他:農業區,,,1100910,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8814750,4538,,0.0,0,,RPTNMLRJIIGGFAI97DA,0.0,0.0,0.0,無,002
嘉義市,房地(土地+建物),嘉義市嘉義市世賢路一段５９２巷３號,78.0,都市：其他:住宅區,,,1100823,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0680814,41.25,5,2,3,有,無,4680000,113455,,0.0,0,,RPVNMLRJIIGGFAI18DA,41.25,0.0,0.0,無,
嘉義市,土地,竹圍子段403-6地號,33.0,都市：其他:住宅區,,,1100926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,30303,,0.0,0,,RPSNMLSJIIGGFAI97DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),嘉義市嘉義市忠順一街３３號,71.0,都市：其他:商業區,,,1100827,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0821215,192.39,7,2,4,有,無,12000000,62373,,0.0,0,,RPVNMLSJIIGGFAI28DA,192.39,0.0,0.0,無,
嘉義市,土地,竹圍子段181-10地號,446.0,都市：其他:乙種工業區,,,1101003,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6100000,13677,,0.0,0,包含公共設施保留地用地；,RPRNMLSJIIGGFAI97EA,0.0,0.0,0.0,無,004
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市竹子腳２０之７７號８樓２,32.21,都市：其他:住宅區,,,1100916,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810828,176.78,4,2,2,有,有,4880000,27605,坡道平面,0.0,0,,RPQOMLSJIIGGFAI97EA,96.61,17.94,0.0,有,005
嘉義市,房地(土地+建物),嘉義市嘉義市吳鳳南路１６６巷１５號,60.0,都市：其他:住宅區,,,1100814,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0621022,64.5,2,2,2,有,無,2800000,43411,,0.0,0,,RPWOMLQJIIGGFAI28DA,64.5,0.0,0.0,無,
嘉義市,土地,台斗坑段123地號,2534.0,都市：其他:農業區,,,1100829,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13400000,5288,,0.0,0,,RPSOMLKMRHGGFAI38DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市杭州四街６８號２樓２,31.19,都市：其他:住宅區,,,1100912,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780117,191.71,4,2,2,有,有,7500000,39122,坡道平面,0.0,0,含裝潢費；含傢俱設備費；,RPPOMLSLRHGGFAI78DA,155.16,17.36,0.0,有,006
嘉義市,房地(土地+建物),嘉義市嘉義市義教街７５０巷１３號,77.0,都市：其他:住宅區,,,1100920,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0630828,88.69,3,2,2,有,無,4000000,45101,,0.0,0,頂樓加蓋；其他增建；,RPSOMLOLRHGGFAI68DA,88.69,0.0,0.0,無,007
嘉義市,房地(土地+建物),嘉義市嘉義市五顯街８９之２號,98.0,都市：其他:住宅區,,,1100821,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1100524,209.76,6,2,5,有,無,15900000,75801,,0.0,0,,RPOOMLNKRHGGFAI08DA,202.1,7.66,0.0,無,008
嘉義市,房地(土地+建物),嘉義市嘉義市重興里博愛路一段４９６巷７號３樓２,27.59,都市：其他:住宅區,,,1100925,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751125,106.07,3,2,2,有,無,3850000,36297,,0.0,0,,RPROMLSJIIGGFAI97DA,80.47,9.17,0.0,無,009
嘉義市,房地(土地+建物),嘉義市嘉義市民生南路２９４之１號二樓之１,4.76,都市：其他:住宅區,,,1100914,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780203,26.57,1,1,1,有,有,1100000,41400,,0.0,0,,RPQNMLSJIIGGFAI77DA,15.77,2.59,0.0,有,010
嘉義市,房地(土地+建物),嘉義市嘉義市大雅路二段４３３巷４６號,129.0,都市：其他:商業區,,,1100922,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土構造,1040907,362.52,5,2,4,有,無,25800000,71168,,0.0,0,,RPOOMLMKIIGGFAI17DA,348.54,13.98,0.0,無,011
嘉義市,房地(土地+建物),嘉義市嘉義市博愛路一段４９６巷２３號５樓１,19.23,都市：其他:住宅區,,,1100926,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800518,106.99000000000001,3,2,2,有,有,4600000,42995,,0.0,0,,RPTOMLMKIIGGFAI67DA,79.41,4.27,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市彌陀路２２５巷２５號,61.0,都市：其他:住宅區,,,1100918,土地1建物1車位0,全,二層,透天厝,住家用,木造,0631219,64.08,3,2,2,有,無,3800000,59301,,0.0,0,,RPTOMLSJIIGGFAI18DA,64.08,0.0,0.0,無,012
嘉義市,房地(土地+建物),嘉義市嘉義市友忠路８２７巷５弄２號,64.0,都市：其他:道路用地,,,1100916,土地2建物1車位0,全,一層,透天厝,住家用,木造,0580520,38.19,2,1,1,有,無,2500000,65462,,0.0,0,瑕疵物件；包含公共設施保留地用地；,RPTNMLMKIIGGFAI57DA,38.19,0.0,0.0,無,
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市自強街１９５巷３３－３１號３樓２,20.25,都市：其他:住宅區,,,1100913,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841009,112.11,2,2,2,有,有,3000000,26759,坡道機械,0.0,0,,RPUNMLMKIIGGFAI67DA,70.31,13.83,0.0,有,
嘉義市,房地(土地+建物),嘉義市嘉義市日新街２１８巷４３號,191.2,都市：其他:住宅區,,,1100915,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土構造,1021107,305.73999999999995,5,2,4,有,有,22600000,73919,,0.0,0,土地價款新台幣1311萬元正。建物價款新台幣949萬元正。,RPRPMLNKIIGGFAI67DA,292.52,12.94,0.0,有,
嘉義市,土地,大溪段420地號,4.41,都市：其他:農業區,,,1100924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17640,4000,,0.0,0,地清或未辦繼承標售；,RPUOMLMKIIGGFAI87EA,0.0,0.0,0.0,無,013
嘉義市,土地,溪東段950地號,96.31,都市：其他:住宅區,,,1100924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,12460,,0.0,0,地清或未辦繼承標售；,RPVOMLMKIIGGFAI97EA,0.0,0.0,0.0,無,
