鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
竹北市,房地(土地+建物),新竹縣竹北市仁義路７６號四樓,21.56,都市：其他:第二種住宅區,,,1100818,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820914,99.94,3,2,2,有,無,6280000,62838,,0.0,0,,RPTPMLKLQHGGFBJ58DA,74.68,8.94,0.0,有,
竹北市,土地,站後段103-1地號,363.83,都市：其他:道路用地,,,1100819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17400000,47825,,0.0,0,包含公共設施保留地用地；,RPVNMLNLQHGGFBJ88DA,0.0,0.0,0.0,無,001
竹北市,土地,東興段1023地號,4049.11,,特定農業區,農牧用地,1100716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100142270,24732,,0.0,0,,RPROMLLJRHGGFBJ28DA,0.0,0.0,0.0,無,
竹北市,土地,省道段408地號,58.69,都市：其他:道路用地,,,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,30670,,0.0,0,包含公共設施保留地用地；,RPURMLLJRHGGFBJ88DA,0.0,0.0,0.0,無,002
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政二路南段１２３號,27.01,都市：其他:第一種住宅區,,,1100903,土地1建物1車位2,一層,十三層,店面(店鋪),商業用,鋼筋混凝土造,1011025,182.14,3,0,1,有,有,26500000,145492,坡道平面,42.19,0,,RPQQMLNJRHGGFBJ58DA,93.48,3.14,0.0,有,003
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路一段１９７號九樓之一,49.38,都市：其他:住宅區,,,1100804,土地1建物1車位2,九層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071121,343.22,4,2,3,有,無,38590000,123116,坡道平面,53.33,2900000,,RPOOMLKKRHGGFBJ97DA,166.0,24.34,0.0,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市復興三路一段１９７號十一樓之二,46.41,都市：其他:住宅區,,,1100825,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071121,322.53,4,2,3,有,無,39800000,129972,坡道平面,28.62,1600000,,RPUPMLKKRHGGFBJ68DA,166.2,26.8,0.0,有,
竹北市,土地,華城段1123地號,396.8,,山坡地保育區,農牧用地,1100901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,630000,1588,,0.0,0,,RPPNMLSKRHGGFBJ78DA,0.0,0.0,0.0,無,004
竹北市,車位,新竹縣竹北市嘉豐五路一段２１３號,3.2,都市：其他:住宅區,,,1100911,土地1建物1車位1,一層,十九層,其他,辦公室,鋼筋混凝土造,1050203,27.580000000000002,0,0,0,有,有,1750000,,坡道平面,0.0,1750000,僅車位交易；,RPPNMLMLRHGGFBJ28DA,0.0,0.0,0.0,有,005
