鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
獅潭鄉,土地,桂竹林段217-2地號,1215.33,,山坡地保育區,農牧用地,1100914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550500,453,,0.0,0,,RPQNMLOLRHGGFAK58DA,0.0,0.0,0.0,無,
公館鄉,土地,齊佳段901地號,335.91,都市：其他:住宅區,,,1091217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9957780,29644,,0.0,0,,RPSNMLSJKHGGFBK38DA,0.0,0.0,0.0,無,
公館鄉,土地,齊佳段856地號,1070.6,都市：其他:住宅區,,,1091220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,31089600,29039,,0.0,0,包含公共設施保留地用地；,RPROMLLLPHGGFBK38DA,0.0,0.0,0.0,無,
公館鄉,土地,齊佳段854地號,653.08,都市：其他:住宅區,,,1091228,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21000000,32155,,0.0,0,,RPSOMLLLPHGGFBK48DA,0.0,0.0,0.0,無,
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市恭敬里７鄰恭敬路１０６號二樓之一,23.4,都市：其他:住宅區,,,1100831,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850620,134.79,3,1,1,有,有,4100000,30418,坡道機械,0.0,0,,RPSNMLRKRHGGFBK09DA,84.52,13.4,0.0,有,
苗栗市,土地,福全段1089地號,19.09,都市：其他:商業區,,,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1115550,58436,,0.0,0,,RPRNMLQJIIGGFBK97DA,0.0,0.0,0.0,無,001
苗栗市,土地,福全段1089地號,19.09,都市：其他:商業區,,,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,752050,39395,,0.0,0,,RPSNMLQJIIGGFBK08DA,0.0,0.0,0.0,無,001
苗栗市,土地,福全段1089地號,38.17,都市：其他:商業區,,,1100716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1501500,39337,,0.0,0,,RPTNMLQJIIGGFBK18DA,0.0,0.0,0.0,無,001
苗栗市,土地,福全段1089地號,38.17,都市：其他:商業區,,,1100716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1501500,39337,,0.0,0,,RPVNMLQJIIGGFBK38DA,0.0,0.0,0.0,無,001
