鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南投市,土地,茄苳腳段807-15地號,13482.0,,工業區,丁種建築用地,1100909,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,289640260,21483,,0.0,0,茄苳腳段807-11地號交易價格:131796280元，茄苳腳807-15地號交易價格:157843980元。政府機關標讓售；,RPWNMLPKRHGGFAM76DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市彰南路一段２９０巷１４１之５號,170.0,,特定農業區,甲種建築用地,1100918,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080515,269.41,5,3,6,有,無,16500000,61245,,0.0,0,土地交易價格:709.5萬元，建物交易價格:940.5萬元。,RPVNMLOLRHGGFAM66DA,256.01,13.4,0.0,有,
南投市,房地(土地+建物),南投縣南投市彰南路一段２９０巷１４１之３號,107.0,,特定農業區,甲種建築用地,1100805,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1080515,226.25,4,3,3,有,無,12500000,55249,,0.0,0,,RPUNMLKMRHGGFAM88DA,214.61,11.64,0.0,無,
南投市,房地(土地+建物),南投縣南投市仁義南路３４巷２３號,137.96,都市：其他:住宅區,,,1100907,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0940614,238.06,4,3,4,有,無,15600000,65530,,0.0,0,,RPVNMLPJIIGGFAM38DA,219.66,18.4,0.0,無,
南投市,土地,成功段820地號,67.96,都市：其他:住宅區,,,1100914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,38258,,0.0,0,,RPQNMLQJIIGGFAM97DA,0.0,0.0,0.0,無,
南投市,土地,營南段315地號,172.83,,一般農業區,農牧用地,1100907,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1045600,6050,,0.0,0,農作物；,RPWNMLRJIIGGFAM68DA,0.0,0.0,0.0,無,
南投市,房地(土地+建物),南投縣南投市彰南路三段１６８之８號,85.1,都市：其他:住宅區,,,1100922,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090928,165.25,4,3,5,有,無,12800000,77458,,0.0,0,,RPXNMLRJIIGGFAM78DA,161.57,3.68,0.0,無,
草屯鎮,土地,平東段90-3地號,478.72,,風景區,農牧用地,1100905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,5222,,0.0,0,,RPSNMLNLRHGGFBM98DA,0.0,0.0,0.0,無,
草屯鎮,房地(土地+建物),南投縣草屯鎮太平路一段１２３巷１７０號,1606.0,都市：其他:農業區,,,1100816,土地1建物1車位0,全,二層,透天厝,農業用,鋼骨造,0991207,204.74,6,2,6,有,無,46000000,224675,,0.0,0,,RPRNMLTLRHGGFBM86DA,204.74,0.0,0.0,無,
