鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
彰化市,房地(土地+建物)+車位,彰化縣彰化市仁愛路１０２巷２２之２號二樓,30.06,都市：其他:住宅區,,,1100907,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790626,183.02,4,2,2,有,有,8000000,43711,坡道機械,0.0,1000000,陽台外推；,RPSOMLRJRHGGFAN66DA,125.97,12.46,0.0,有,
彰化市,車位,彰化縣彰化市彰南路二段３４８巷１３０之１號,0.02,,山坡地保育區,丙種建築用地,1100903,土地0建物0車位1,一層,十三層,其他,管理員室,鋼筋混凝土造,0861020,16.84,0,0,0,有,有,200000,,升降機械,5.87,200000,僅車位交易；,RPTNMLLJIIGGFAN87DA,0.0,0.0,0.0,有,001
彰化市,土地,西勢子段西勢子小段98-53地號,179.0,都市：其他:道路用地,,,1100714,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14070000,78603,,0.0,0,,RPPNMLPJIIGGFAN87DA,0.0,0.0,0.0,無,
花壇鄉,土地,學前段742-11地號,61.34,都市：其他:住宅區,,,1100916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3800000,61950,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLPJIIGGFAN18DA,0.0,0.0,0.0,無,002
彰化市,房地(土地+建物),彰化縣彰化市建國南路１０９巷１０８弄１８之１２號,96.05,都市：其他:乙種工業區,,,1100828,土地5建物1車位0,全,四層,透天厝,商辦用,鋼筋混凝土造,0970710,244.02,4,3,4,有,有,13880000,56881,,0.0,0,陽台外推；其他增建；,RPRNMLQJIIGGFAN18DA,241.35,2.67,0.0,無,
秀水鄉,房地(土地+建物),彰化縣秀水鄉華龍巷１７３弄２６號,2420.0,,特定農業區,農牧用地,1100814,土地1建物1車位0,全,一層,透天厝,農業用,有牆鋼架造,0890725,176.4,1,1,1,有,無,19000000,107710,,0.0,0,,RPQNMLRJIIGGFAN18DA,176.4,0.0,0.0,無,
秀水鄉,土地,西興段929地號,532.0,,鄉村區,乙種建築用地,1100615,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,24436,,0.0,0,,RPSNMLRJIIGGFAN38DA,0.0,0.0,0.0,無,
彰化市,房地(土地+建物),彰化縣彰化市和平路９８號五樓之十七,21.12,都市：其他:商業區,,,1100829,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701208,106.97,3,2,2,有,有,4500000,42068,,0.0,0,,RPTNMLRJIIGGFAN48DA,106.97,0.0,0.0,有,003
彰化市,房地(土地+建物)+車位,彰化縣彰化市中山路二段６４４巷１６號四樓之２,39.25,非都市： ; 非都市編定：,,,1100902,土地4建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100302,146.05,3,2,2,有,有,10550000,73660,坡道平面,21.83,1400000,,RPVNMLRJIIGGFAN68DA,77.32,7.2,0.0,有,
彰化市,房地(土地+建物),彰化縣彰化市介壽北路１０８巷１９號,91.0,都市：其他:住宅區,,,1100819,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660831,85.49,2,2,2,有,無,8500000,99427,,0.0,0,其他增建；,RPSOMLRJIIGGFAN48DA,85.49,0.0,0.0,無,
芬園鄉,土地,大德段898地號,426.03,,山坡地保育區,農牧用地,1100915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1408,,0.0,0,賣方賣清的，不負擔一切稅捐費用，整地，拆除地上物，種植農作物，申請農用證明等等一切費用均由買方負擔。親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSJIIGGFAN38DA,0.0,0.0,0.0,無,
線西鄉,房地(土地+建物),彰化縣線西鄉口厝路９６巷５１弄１１號,68.0,都市：其他:住宅區,,,1100515,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100524,185.49,3,1,3,有,無,7200000,38816,,0.0,0,,RPUNMLLLPHGGFBN88DA,185.49,0.0,0.0,無,
伸港鄉,房地(土地+建物)+車位,彰化縣伸港鄉大同七街７７號七樓之６,23.99,都市：其他:第二種住宅區,,,1090816,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100729,98.82,3,1,2,有,有,5700000,57681,坡道平面,0.0,0,,RPOPMLRJRHGGFBN09DA,55.53,5.59,0.0,有,
