鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新竹市,房地(土地+建物),新竹市新竹市延平路３段６６７巷２０－１號３Ｆ,8.8,都市：其他:第一之一種住宅區,,,1100813,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831128,49.459999999999994,1,1,1,有,有,1650000,33360,,0.0,0,,RPVRMLKLQHGGFAO76DA,34.3,0.0,0.0,有,
新竹市,土地,南寮段48-1地號,12.06,都市：其他:道路用地,,,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,127750,10593,,0.0,0,包含公共設施保留地用地；,RPRQMLQLQHGGFAO86DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市新莊街９２號四樓,23.07,都市：其他:乙種工業區,,,1100826,土地2建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830305,123.88,3,2,2,有,有,9360000,75557,坡道機械,0.0,0,陽台加窗陽台外推；,RPQNMLPJRHGGFAO88DA,84.1,11.14,0.0,有,
新竹市,土地,東濱段16-1地號,717.61,都市：其他:第一之一種住宅區,,,1100819,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,56440800,78651,,0.0,0,,RPSPMLKKRHGGFAO88DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市延平路１段２１４巷１５０號,46.0,,鄉村區,乙種建築用地,1100831,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0640110,56.25,5,3,3,有,無,5000000,88889,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPXPMLMLRHGGFAO07DA,56.25,0.0,0.0,無,001
新竹市,房地(土地+建物)+車位,新竹市新竹市天府路一段５３３號九樓,9.84,都市：其他:第一之一種住宅區,,,1100915,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970520,112.91,3,2,2,有,有,5300000,46940,坡道機械,11.12,0,,RPQOMLPLRHGGFAO56DA,62.1,11.66,0.0,有,002
新竹市,房地(土地+建物),新竹市新竹市高翠路２２１巷２弄１３號,80.24,都市：其他:第一種住宅區,,,1100904,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0811117,187.34,3,2,3,有,無,13000000,69393,,0.0,0,,RPTOMLKMRHGGFAO09DA,159.13,28.21,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市北新街１３１號八樓之８,6.13,都市：其他:第二種住宅區,,,1100827,土地2建物1車位1,八層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,0980319,48.16,2,2,1,有,有,4710000,97799,坡道機械,0.0,0,夾層；,RPRPMLKMRHGGFAO98DA,21.78,5.34,0.0,有,003
新竹市,房地(土地+建物),新竹市新竹市林森路１７５號６樓之２,7.56,都市：其他:第二種商業區,,,1100930,土地1建物2車位0,六層,十二層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,0790207,82.0,2,2,2,有,有,4080000,49756,,0.0,0,,RPVQMLKMRHGGFAO86DA,49.28,8.58,0.0,有,
新竹市,房地(土地+建物),新竹市新竹市長春街４０巷２４號,63.0,都市：其他:第一種住宅區,,,1100827,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0740424,109.53,11,0,11,有,無,13150000,120058,,0.0,0,增建部分為一樓空地、3~5樓增建其他增建；,RPTNMLNJIIGGFAO18DA,83.74,25.79,0.0,無,004
新竹市,房地(土地+建物),新竹市新竹市北大路４０巷１０號,460.0,都市：其他:第二種住宅區,,,1100726,土地1建物2車位0,全,一層,透天厝,住家用,加強磚造,,230.96,5,2,3,有,無,81550000,353091,,0.0,0,285建號成交金額：3262萬元整，1297地號及284建號成交金額：4893萬元整,RPXNMLPJIIGGFAO78DA,230.96,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市民權路５６巷１９號六樓之６,4.96,都市：其他:第二種商業區,,,1100830,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030830,46.11,1,0,1,有,有,4000000,86749,,0.0,0,陽台外推；,RPUOMLPJIIGGFAO58DA,22.65,3.38,0.0,有,005
新竹市,房地(土地+建物)+車位,新竹市新竹市金竹路８６巷２６號九樓之１,20.04,都市：其他:第一種住宅區,,,1100905,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000307,134.61,2,2,1,有,有,8000000,59431,坡道平面,40.2,0,,RPWOMLPJIIGGFAO78DA,56.74,8.09,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市和平路８６巷１０號１１樓,17.3,都市：其他:第一種住宅區,,,1100825,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860710,159.74,4,2,1,有,有,8300000,51959,坡道平面,0.0,0,其他增建；,RPOPMLPJIIGGFAO08DA,92.59,14.54,0.0,有,006
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路１３７號十八樓之１,20.9,都市：其他:第二種商業區,,,1100625,土地1建物1車位2,十八層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031208,262.5,4,2,2,有,有,24800000,94476,坡道平面,0.0,0,,RPQPMLPJIIGGFAO28DA,119.12,18.02,0.0,有,007
新竹市,房地(土地+建物)+車位,新竹市新竹市東門街３４巷２０號十六樓,14.64,都市：其他:第二種商業區,,,1100828,土地1建物1車位1,十六層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011015,185.35000000000002,2,2,2,有,有,19700000,106285,坡道平面,29.47,0,,RPPNMLQJIIGGFAO08DA,89.64,16.65,0.0,有,008
新竹市,房地(土地+建物)+車位,新竹市新竹市慈濟路２１２號十樓,22.99,都市：其他:第二種住宅區,,,1100826,土地1建物1車位2,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040114,220.45,3,2,2,有,有,20000000,90724,坡道平面,0.0,1500000,車位編號B1-591單獨計價150萬元車位編號B3-34含入總價。,RPTPMLQJIIGGFAO68DA,102.91,23.17,0.0,有,009
新竹市,房地(土地+建物),新竹市新竹市金雅六街７３號,64.08,,鄉村區,乙種建築用地,1100905,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1080709,223.03,5,2,5,有,無,19680000,88239,,0.0,0,土地、建物價格各984萬元陽台外推；,RPSNMLOJIIGGFAO28EA,185.35,37.68,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市光復路一段５３１巷８２之１號９樓,14.44,都市：其他:第一種商業區,,,1100907,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830512,110.3,3,2,1,有,有,8300000,75249,,0.0,0,,RPUNMLPJIIGGFAO58EA,73.87,9.57,0.0,有,
新竹市,土地,科學段一小段625地號,82.97,都市：其他:第一種住宅區,,,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10080000,121490,,0.0,0,,RPPPMLPJIIGGFAO28EA,0.0,0.0,0.0,無,
新竹市,土地,港南段1018-6地號,160.86,,鄉村區,乙種建築用地,1100831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9148000,56869,,0.0,0,,RPQNMLQJIIGGFAO28EA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市光華街９３號３樓之２,9.83,都市：其他:第一種住宅區,,,1100726,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.0,2,2,1,有,有,3900000,51316,,0.0,0,,RPRNMLQJIIGGFAO38EA,59.83,0.0,0.0,有,010
新竹市,房地(土地+建物),新竹市新竹市建中一路５６號６樓之１,28.94,都市：其他:第一種住宅區,,,1100915,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870410,140.46,3,2,2,有,有,12250000,87213,,0.0,0,,RPSNMLQJIIGGFAO48EA,86.2,11.06,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市竹蓮街１０１巷２６號十一樓之６,11.22,都市：其他:第二種商業區,,,1100812,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100512,97.69,2,2,1,有,有,8600000,88034,升降機械,19.22,0,,RPTNMLQJIIGGFAO58EA,44.17,4.48,0.0,有,011
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段３０巷１３號６Ｆ,27.58,都市：其他:第一種住宅區,,,1100821,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830621,136.5,4,2,2,有,無,8200000,60073,坡道機械,0.0,0,,RPUNMLQJIIGGFAO68EA,89.06,13.43,0.0,有,012
新竹市,房地(土地+建物),新竹市新竹市東大路三段３７７巷５８號,85.83,都市：其他:第一之一種住宅區,,,1100820,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1001213,262.61,5,2,3,有,無,16880000,64278,,0.0,0,頂樓加蓋；,RPPNMLRJIIGGFAO28EA,221.84,40.77,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市大學路８１巷２弄１號３樓之３,21.95,都市：其他:道路用地,,,1100905,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0801216,107.61,2,2,1,有,有,6200000,57615,坡道平面,0.0,0,,RPSNMLRJIIGGFAO58EA,93.3,5.73,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市公道五路二段３７５號十二樓之２,51.91,都市：其他:第一種住宅區,,,1100904,土地1建物1車位2,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961206,310.63,4,2,2,有,有,36680000,118083,坡道平面,0.0,2400000,陽台外推；,RPUNMLRJIIGGFAO78EA,172.08,17.07,0.0,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市東華路７號三樓之８,18.66,都市：其他:第二種住宅區,,,1100904,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030829,164.60000000000002,3,2,2,有,有,11500000,81780,坡道平面,37.43,1100000,,RPXOMLRJIIGGFAO56EA,78.23,7.69,0.0,有,013
新竹市,房地(土地+建物),新竹市新竹市境福街１４１巷６弄５６號,139.0,,鄉村區,乙種建築用地,1100913,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0881230,276.45,6,2,4,有,無,25500000,92241,,0.0,0,頂樓增建其他增建；,RPOOMLRJIIGGFAO18DA,256.94,19.51,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市志平路１１１號十一樓之２,103.56,,山坡地保育區,丙種建築用地,1100914,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0960716,279.18,5,2,2,有,有,17500000,62684,坡道平面,30.59,0,,RPORMLOJIIGGFAO18DA,174.74,23.06,0.0,有,
新竹市,房地(土地+建物),新竹市新竹市林森路７３號９樓之５,2.67,都市：其他:第二種商業區,,,1100917,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780107,29.39,1,0,1,有,有,1560000,53079,,0.0,0,,RPWNMLQJIIGGFAO78DA,23.13,0.0,0.0,有,
新竹市,土地,南門段三小段151地號,66.0,都市：其他:道路用地,,,1100909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7814400,118400,,0.0,0,包含公共設施保留地用地；,RPROMLQJIIGGFAO38DA,0.0,0.0,0.0,無,
新竹市,土地,西濱段93地號,118.78,都市：其他:道路用地,,,1100903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5048202,42500,,0.0,0,包含公共設施保留地用地；,RPTPMLPJIIGGFAO58DA,0.0,0.0,0.0,無,014
新竹市,土地,西濱段93地號,118.78,都市：其他:道路用地,,,1100903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5048202,42500,,0.0,0,包含公共設施保留地用地；,RPUPMLPJIIGGFAO68DA,0.0,0.0,0.0,無,014
新竹市,房地(土地+建物),新竹市新竹市國華街６６巷４號４樓,28.33,都市：其他:第一種住宅區,,,1100901,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730718,105.67,3,2,2,有,有,4800000,45424,,0.0,0,,RPTOMLQJIIGGFAO58DA,77.7,13.72,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市經國路二段１１１號６樓之１４,4.7,都市：其他:第二種住宅區,,,1100925,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0860715,43.25,1,0,1,有,有,1570000,36301,,0.0,0,,RPXOMLQJIIGGFAO98DA,27.75,0.0,0.0,有,
新竹市,土地,醫專段8-224地號,232.33,,山坡地保育區,丙種建築用地,1100621,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7028000,30250,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQPMLQJIIGGFAO38DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市民權路２００巷１３號,90.0,都市：其他:第二種住宅區,,,1100804,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0611109,72.0,4,2,4,有,無,19300000,268056,,0.0,0,壹樓空地防火巷頂樓加蓋；其他增建；,RPWQMLQJIIGGFAO09DA,72.0,0.0,0.0,無,016
新竹市,土地,東香段891地號,1085.53,,山坡地保育區,農牧用地,1100304,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,8751,,0.0,0,未登記建物；,RPOQMLOJIIGGFAO08DA,0.0,0.0,0.0,無,017
新竹市,房地(土地+建物),新竹市新竹市東華路１６號７Ｆ,7.78,都市：其他:第二種住宅區,,,1100825,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830713,68.68,2,2,1,有,有,3600000,52417,,0.0,0,,RPWOMLOJIIGGFAO68DA,48.28,6.96,0.0,有,018
新竹市,房地(土地+建物),新竹市新竹市石坊街２２號四樓之５,10.56,都市：其他:第二種商業區,,,1100905,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010730,71.42,2,2,1,有,有,7500000,105013,,0.0,0,,RPTPMLOJIIGGFAO48DA,47.44,6.97,0.0,有,019
