鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
古坑鄉,房地(土地+建物),雲林縣古坑鄉湳子７１之１號,113.04,,特定專用區,甲種建築用地,1100801,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100217,152.15,4,2,4,有,無,9200000,60467,,0.0,0,廚房增建其他增建；,RPPOMLRLRHGGFAP76DA,146.28,5.87,0.0,無,
古坑鄉,房地(土地+建物),雲林縣古坑鄉湳子７１之２號,112.81,,特定專用區,甲種建築用地,1100801,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100217,152.15,4,2,4,有,無,9200000,60467,,0.0,0,廚房增建其他增建；,RPQOMLRLRHGGFAP86DA,146.28,5.87,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市久福街６號,90.0,,鄉村區,乙種建築用地,1100901,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710822,134.78,4,2,2,有,無,3200000,23742,,0.0,0,,RPQNMLQJIIGGFAP28DA,134.78,0.0,0.0,無,
斗六市,房地(土地+建物),雲林縣斗六市大智街４５號,54.37,都市：其他:住宅區,,,1100910,土地1建物1車位0,一層，二層，騎樓,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0830105,258.14,2,3,3,有,有,9600000,37189,,0.0,0,陽台外推；其他增建；,RPRNMLQJIIGGFAP38DA,212.68,17.44,0.0,有,001
斗六市,房地(土地+建物),雲林縣斗六市莊敬路３７２號六樓,20.9,都市：其他:住宅區,,,1100916,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830701,160.81,3,2,2,有,有,4280000,26615,,0.0,0,,RPSNMLSJIIGGFAP68DA,94.49,9.63,0.0,有,
斗南鎮,土地,大東段大東小段957地號,1529.0,,特定農業區,農牧用地,1100925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4625000,3025,,0.0,0,,RPPNMLRLRHGGFBP76DA,0.0,0.0,0.0,無,
斗南鎮,房地(土地+建物)+車位,雲林縣斗南鎮新生三路５１９巷１號,20.74,都市：其他:第二種住宅區,,,1100910,土地1建物1車位1,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880710,114.4,3,1,2,有,有,2400000,20979,坡道機械,0.0,0,,RPRNMLRJIIGGFBP58DA,72.32,8.57,0.0,有,
斗南鎮,土地,埤麻段505地號,55.56,,鄉村區,乙種建築用地,1100928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,470564,8469,,0.0,0,,RPPNMLSJIIGGFBP48DA,0.0,0.0,0.0,無,002
西螺鎮,房地(土地+建物),雲林縣西螺鎮建興路３３３巷２２號,196.0,都市：其他:住宅區,,,1100909,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0651028,110.16,4,2,2,有,無,300000,2723,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPPNMLSJIIGGFCP58DA,110.16,0.0,0.0,無,
斗南鎮,土地,建國段741地號,104.0,都市：其他:第二種住宅區,,,1100907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5030000,48365,,0.0,0,含土地增值稅或其他稅費；,RPSNMLQJIIGGFBP58DA,0.0,0.0,0.0,無,
大埤鄉,土地,蘆竹巷段953-1地號,2467.0,,特定農業區,農牧用地,1100826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3947200,1600,,0.0,0,,RPQOMLQJIIGGFBP48DA,0.0,0.0,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮廉使６１３之２１號,130.79,,鄉村區,乙種建築用地,1090613,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100510,196.19,4,2,4,有,無,8900000,45364,,0.0,0,,RPVOMLOJIIGGFDP98DA,188.36,7.83,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮廉使６１３之２３號,130.36,,鄉村區,乙種建築用地,1090525,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100510,196.19,4,2,4,有,無,8980000,45772,,0.0,0,,RPWOMLOJIIGGFDP09DA,188.36,7.83,0.0,無,
土庫鎮,房地(土地+建物),雲林縣土庫鎮新建路５５之８號,90.58,非都市： ; 非都市編定：,,,1090206,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100516,168.91,5,2,4,有,無,8080000,47836,,0.0,0,,RPTPMLOJIIGGFDP88DA,157.21,11.7,0.0,無,
虎尾鎮,土地,大屯段969-6地號,5.56,,鄉村區,乙種建築用地,1100927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40000,7194,,0.0,0,含土地增值稅或其他稅費2939元；,RPRNMLRJIIGGFDP78DA,0.0,0.0,0.0,無,
北港鎮,房地(土地+建物),雲林縣北港鎮慶華街１９１巷３４號,84.28,都市：其他:住宅區,,,1100813,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0840327,177.91,4,2,3,有,無,5400000,30352,,0.0,0,急買急賣；,RPPNMLTKQHGGFEP07DA,167.47,10.44,0.0,無,
北港鎮,房地(土地+建物),雲林縣北港鎮慶華街１９１巷３２號,101.08,都市：其他:住宅區,,,1100813,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0840327,185.07,4,2,3,有,無,5600000,30259,,0.0,0,急買急賣；,RPQNMLTKQHGGFEP17DA,174.27,10.8,0.0,無,003
水林鄉,土地,灣東段731地號,2160.3,,特定農業區,農牧用地,1100926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,694,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；機電設備；,RPSNMLSJIIGGFEP09DA,0.0,0.0,0.0,無,
北港鎮,土地,扶朝段1502地號,1142.0,,特定農業區,農牧用地,1100924,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1280000,1121,,0.0,0,,RPVNMLSJIIGGFEP76DA,0.0,0.0,0.0,無,
台西鄉,房地(土地+建物),雲林縣臺西鄉蚊港路１之１８號,511.94,,一般農業區,甲種建築用地,1100919,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0740612,112.7,7,2,2,有,無,4280000,37977,,0.0,0,,RPTNMLOJIIGGFFP88DA,112.7,0.0,0.0,無,
麥寮鄉,土地,麥中段733地號,128.22,,一般農業區,養殖用地,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,15598,,0.0,0,,RPPNMLPJIIGGFFP58DA,0.0,0.0,0.0,無,
麥寮鄉,土地,施厝寮段1263-1地號,1479.0,,一般農業區,農牧用地,1100922,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1922700,1300,,0.0,0,,RPPNMLRJIIGGFFP78DA,0.0,0.0,0.0,無,
東勢鄉,土地,西安段1212地號,2961.2,,特定農業區,農牧用地,1100830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,844,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLRJIIGGFFP98DA,0.0,0.0,0.0,無,
斗六市,土地,雲林溪段82地號,521.76,都市：其他:住宅區,,,1100728,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,40880000,78350,,0.0,0,含土地增值稅或其他稅費；含仲介費；,RPSNMLPJIIGGFAP48EA,0.0,0.0,0.0,無,004
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路３１３號四樓之２,39.83,都市：其他:住宅區,,,1080918,土地1建物1車位2,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100218,159.01999999999998,3,2,2,有,無,7600000,63896,坡道平面,53.38,850000,序號2為共有車位，不計算價金。土地價款203萬元，房屋價款472萬元。預售屋、或土地及建物分件登記案件；,RPPOMLKMRHGGFAP88EA,80.09,12.94,0.0,有,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路３０９號二樓之１,38.54,都市：其他:住宅區,,,1080530,土地1建物1車位2,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100218,151.84,3,2,2,有,無,7060000,64087,坡道平面,53.38,750000,序號2為共有車位，不計算價金。土地價款190萬元，房屋價款441萬元。預售屋、或土地及建物分件登記案件；,RPQOMLKMRHGGFAP98EA,80.58,9.74,0.0,有,
斗六市,房地(土地+建物)+車位,雲林縣斗六市鎮北路３１３號五樓之３,40.91,都市：其他:住宅區,,,1080421,土地1建物1車位2,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100218,162.3,3,2,2,有,無,7860000,64359,坡道平面,53.38,850000,序號2為共有車位，不計算價金。土地價款210萬元，房屋價款491萬元。預售屋、或土地及建物分件登記案件；,RPROMLKMRHGGFAP09EA,87.15,8.08,0.0,有,
斗六市,房地(土地+建物)+車位,雲林縣斗六市永昌西街２２號三樓,14.04,都市：其他:商業區,,,1100908,土地2建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831220,105.11,3,1,2,有,有,4580000,43573,坡道機械,0.0,0,,RPRNMLMKIIGGFAP18EA,69.6,6.65,0.0,有,005
斗六市,房地(土地+建物),雲林縣斗六市榴八街６之１號,78.75,,工業區,丁種建築用地,1100918,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050901,171.51,4,2,3,有,無,7000000,40814,,0.0,0,含土地增值稅或其他稅費；含仲介費；,RPSNMLMKIIGGFAP28EA,160.35,11.16,0.0,無,006
斗六市,房地(土地+建物)+車位,雲林縣斗六市文安街７３號六樓,25.94,都市：其他:住宅區,,,1100914,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830728,118.27000000000001,3,2,2,有,有,4280000,36188,坡道機械,0.0,0,含仲介費；,RPTNMLMKIIGGFAP38EA,78.81,6.12,0.0,有,007
大埤鄉,土地,嘉興段171地號,38.99,,鄉村區,乙種建築用地,1100911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,313330,8036,,0.0,0,,RPOOMLQJIIGGFBP38EA,0.0,0.0,0.0,無,008
大埤鄉,土地,嘉興段168地號,414.17,,鄉村區,乙種建築用地,1100911,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5011200,12099,,0.0,0,,SPOOMLQJIIGGFBP48EA,0.0,0.0,0.0,無,008
大埤鄉,土地,嘉興段175地號,978.55,,鄉村區,乙種建築用地,1100911,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11840400,12100,,0.0,0,,TPOOMLQJIIGGFBP58EA,0.0,0.0,0.0,無,
大埤鄉,土地,嘉興段174地號,192.18,,鄉村區,乙種建築用地,1100915,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2325200,12099,,0.0,0,,RPPOMLQJIIGGFBP48EA,0.0,0.0,0.0,無,008
斗南鎮,房地(土地+建物),雲林縣斗南鎮莒光街６８號,104.0,都市：其他:商業區,,,1100908,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0960301,231.25,5,2,3,有,無,9120000,39438,,0.0,0,含土地增值稅或其他稅費；含仲介費；其他增建；,RPPNMLMKIIGGFBP08EA,204.59,26.66,0.0,無,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮惠來路２６０號,86.0,,鄉村區,乙種建築用地,1100903,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740701,188.11,5,2,3,有,無,2000000,10632,,0.0,0,含土地增值稅或其他稅費；頂樓加蓋；其他增建；,RPPNMLMKIIGGFDP28EA,183.22,4.89,0.0,無,
元長鄉,土地,三和段1482-2地號,321.33,,鄉村區,乙種建築用地,1100906,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,2801,,0.0,0,,RPRNMLMKIIGGFEP58EA,0.0,0.0,0.0,無,
西螺鎮,土地,三塊厝段三塊厝小段435-6地號,269.42,,鄉村區,乙種建築用地,1100827,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,7423,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMKIIGGFCP38EA,0.0,0.0,0.0,無,
崙背鄉,房地(土地+建物),雲林縣崙背鄉忠孝街１１８巷２號,226.48,都市：其他:住宅區,,,1100928,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1080222,252.17,4,2,5,有,無,11200000,44414,,0.0,0,,RPSNMLMKIIGGFCP48EA,252.17,0.0,0.0,無,
西螺鎮,土地,埔北段477地號,71.0,都市：其他:住宅區,,,1101001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,494040,6958,,0.0,0,,RPUNMLMKIIGGFCP68EA,0.0,0.0,0.0,無,011
崙背鄉,房地(土地+建物),雲林縣崙背鄉仁愛街１４０號,267.94,都市：其他:住宅區,,,1100921,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040504,256.47,4,1,5,有,無,17600000,68624,,0.0,0,,RPVNMLMKIIGGFCP78EA,233.66,22.81,0.0,無,
大埤鄉,土地,蘆竹巷段1890地號,1815.0,,特定農業區,農牧用地,1100917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2949375,1625,,0.0,0,,RPRNMLMKIIGGFBP28EA,0.0,0.0,0.0,無,
