鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
朴子市,房地(土地+建物),嘉義縣朴子市菜埔３６之６巷１６號,103.21,都市：其他:住宅區,,,1100909,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100727,223.28,3,2,4,有,無,10400000,46578,,0.0,0,,RPTNMLSLRHGGFBQ37DA,201.73,21.55,0.0,無,
朴子市,房地(土地+建物),嘉義縣朴子市菜埔３６之６巷１８號,104.86,都市：其他:住宅區,,,1100906,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100727,228.05,4,2,6,有,無,10200000,44727,,0.0,0,,RPUNMLSLRHGGFBQ47DA,204.39,23.66,0.0,無,
朴子市,房地(土地+建物),德安段1182-6地號,101.88,都市：其他:住宅區,,,1100906,土地1建物1車位0,,,其他,,,,224.09,3,2,4,有,無,9600000,42840,,0.0,0,,RPXNMLSLRHGGFBQ77DA,0.0,0.0,0.0,無,001
新港鄉,土地,中洋子段354-7地號,377.0,,特定農業區,甲種建築用地,1100803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,7958,,0.0,0,,RPOOMLOJQHGGFCQ98DA,0.0,0.0,0.0,無,
新港鄉,房地(土地+建物),嘉義縣新港鄉西庄村１鄰西庄１０６之２號,100.4,,鄉村區,乙種建築用地,1100914,土地2建物1車位0,全,三層,透天厝,住家用,ＲＣ造磚構材料,0840529,142.17,5,2,3,有,無,3900000,27432,,0.0,0,其他增建；,RPQNMLRJIIGGFCQ68DA,134.82,7.35,0.0,無,
大林鎮,土地,內林段內林小段172地號,2277.0,,特定農業區,農牧用地,1100910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3187800,1400,,0.0,0,,RPRNMLRJIIGGFCQ78DA,0.0,0.0,0.0,無,
水上鄉,房地(土地+建物),嘉義縣水上鄉三和村５鄰頂寮２８之３號,90.45,都市：其他:住宅區,,,1100908,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700619,96.11,6,2,2,有,無,3500000,36417,,0.0,0,頂樓加蓋；其他增建；,RPUNMLLKRHGGFDQ86DA,96.11,0.0,0.0,無,002
太保市,土地,東新段165-2地號,47.45,,,,1080706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,358750,7561,,0.0,0,,RPVNMLRLRHGGFDQ67DA,0.0,0.0,0.0,無,
太保市,土地,後潭段後潭小段834地號,2500.0,都市：其他:農業區,,,1100821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7300000,2920,,0.0,0,,RPROMLSLRHGGFDQ47DA,0.0,0.0,0.0,無,
水上鄉,土地,水東段15地號,184.09,非都市： ; 非都市編定：,,,1100727,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3900000,21185,,0.0,0,,RPSNMLKMRHGGFDQ76DA,0.0,0.0,0.0,無,
水上鄉,房地(土地+建物),嘉義縣水上鄉內溪村內溪洲７３號,72.78,,一般農業區,甲種建築用地,1100905,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701209,102.6,3,2,2,有,無,3050000,29727,,0.0,0,,RPVNMLLJIIGGFDQ68DA,100.25,2.35,0.0,無,003
鹿草鄉,土地,下潭段光潭小段154地號,1235.0,,特定農業區,農牧用地,1100727,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1480000,1198,,0.0,0,,RPSNMLPJIIGGFDQ78DA,0.0,0.0,0.0,無,
中埔鄉,土地,三層崎段143地號,162.25,,山坡地保育區,農牧用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30827,190,,0.0,0,,RPTNMLPJIIGGFDQ88DA,0.0,0.0,0.0,無,004
中埔鄉,土地,三層崎段151地號,504.96,,山坡地保育區,農牧用地,1100823,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,95941,190,,0.0,0,,RPUNMLPJIIGGFDQ98DA,0.0,0.0,0.0,無,
中埔鄉,土地,三層崎段150-6地號,209.0,,山坡地保育區,丙種建築用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,96140,460,,0.0,0,,RPVNMLPJIIGGFDQ09DA,0.0,0.0,0.0,無,
中埔鄉,土地,三層崎段138-2地號,172.69,,山坡地保育區,農牧用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,32809,190,,0.0,0,,RPWNMLPJIIGGFDQ56DA,0.0,0.0,0.0,無,005
中埔鄉,土地,三層崎段150-2地號,719.62,,山坡地保育區,農牧用地,1100818,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,136727,190,,0.0,0,,RPPNMLQJIIGGFDQ58DA,0.0,0.0,0.0,無,
中埔鄉,土地,三層崎段150-4地號,512.81,,山坡地保育區,農牧用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,97433,190,,0.0,0,,RPRNMLQJIIGGFDQ78DA,0.0,0.0,0.0,無,006
中埔鄉,土地,三層崎段149-2地號,714.94,,山坡地保育區,農牧用地,1100818,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,156828,219,,0.0,0,,RPSNMLQJIIGGFDQ88DA,0.0,0.0,0.0,無,007
中埔鄉,土地,三層崎段149-2地號,220.0,,山坡地保育區,農牧用地,1100823,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,41799,190,,0.0,0,,RPTNMLQJIIGGFDQ98DA,0.0,0.0,0.0,無,007
中埔鄉,房地(土地+建物),嘉義縣中埔鄉樹頭埔８之１號,3063.5,,特定農業區,農牧用地,1100916,土地1建物1車位0,全,一層,透天厝,農業用,鋼筋混凝土補磚造,0801226,161.57,5,2,3,有,無,15600000,96553,,0.0,0,,RPPNMLRJIIGGFDQ68DA,161.57,0.0,0.0,無,
