鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
長治鄉,土地,進興段21-1地號,1092.63,,一般農業區,農牧用地,1100819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1373,,0.0,0,農作物；,RPWPMLOLQHGGFAT57DA,0.0,0.0,0.0,無,
長治鄉,土地,進興段21-2地號,1092.14,,一般農業區,農牧用地,1100819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1373,,0.0,0,農作物；,RPPQMLOLQHGGFAT96DA,0.0,0.0,0.0,無,
萬丹鄉,土地,灣內段898地號,5362.0,,特定農業區,農牧用地,1100812,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22050000,4112,,0.0,0,,RPUNMLMJRHGGFAT86DA,0.0,0.0,0.0,無,
九如鄉,土地,九明段123地號,6519.35,,一般農業區,農牧用地,1100803,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,1841,,0.0,0,,RPVNMLKKRHGGFAT86DA,0.0,0.0,0.0,無,
屏東巿,房地(土地+建物),屏東縣屏東巿建豐路１９５巷１９號,39.26,都市：其他:住宅區,,,1100814,土地1建物1車位0,一層，二層,六層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820318,174.04,4,2,3,有,有,6200000,35624,,0.0,0,陽台外推；,RPVNMLMLRHGGFAT17DA,131.33,11.93,0.0,有,
屏東巿,房地(土地+建物),屏東縣屏東巿大武路４０３巷９號,66.0,都市：其他:住宅區,,,1100926,土地1建物1車位0,全,二層,透天厝,商業用,加強磚造,0660726,89.6,1,2,2,有,無,4100000,45759,,0.0,0,頂樓加蓋；其他增建；,RPSNMLSLRHGGFAT47DA,89.6,0.0,0.0,無,
萬丹鄉,土地,新全段1031地號,420.0,,特定農業區,農牧用地,1100908,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,5000,,0.0,0,,RPXNMLLJIIGGFAT88DA,0.0,0.0,0.0,無,001
長治鄉,土地,進興段739-1地號,14.3,都市：其他:農業區,,,1100927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,51800,3622,,0.0,0,,RPTNMLPJIIGGFAT88DA,0.0,0.0,0.0,無,002
屏東巿,土地,歸義段692-31地號,65.89,,鄉村區,乙種建築用地,1101005,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,797267,12100,,0.0,0,,RPSQMLPJIIGGFAT09DA,0.0,0.0,0.0,無,003
屏東巿,房地(土地+建物),屏東縣屏東巿崇陽街１０８號,102.0,都市：其他:住宅區,,,1100505,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100511,210.79,5,2,4,有,無,13500000,64045,,0.0,0,,RPPNMLQJIIGGFAT58DA,192.43,18.36,0.0,無,
屏東巿,房地(土地+建物),屏東縣屏東巿崇陽街１０６號,102.0,都市：其他:住宅區,,,1100218,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100511,211.0,5,2,4,有,無,13350000,63270,,0.0,0,,RPQNMLQJIIGGFAT68DA,193.18,17.82,0.0,無,
屏東巿,房地(土地+建物),屏東縣屏東巿崇陽街１１２號,102.0,都市：其他:住宅區,,,1100806,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100511,205.79,5,2,4,有,無,12950000,62928,,0.0,0,,RPRNMLQJIIGGFAT78DA,188.73,17.06,0.0,無,
屏東巿,房地(土地+建物),屏東縣屏東巿廣東路１４９８巷７號,100.56,都市：其他:住宅區,,,1100924,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0931216,225.9,4,2,4,有,無,7800000,34529,,0.0,0,頂樓加蓋；其他增建；,RPXNMLRJIIGGFAT86DA,198.78,27.12,0.0,無,004
屏東巿,房地(土地+建物),屏東縣屏東巿博愛路１４６巷１２號,57.0,都市：其他:住宅區,,,1100928,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0600809,72.0,3,2,1,有,無,2300000,31944,,0.0,0,,RPWOMLRJIIGGFAT86DA,72.0,0.0,0.0,無,
竹田鄉,土地,新田段851地號,2581.0,,特定農業區,農牧用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6918600,2681,,0.0,0,,RPWNMLKLQHGGFCT17DA,0.0,0.0,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉統嶺巷２７０號二樓之５,7.62,,一般農業區,甲種建築用地,1100925,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0881130,24.380000000000003,1,0,1,有,有,570000,23380,,0.0,0,,RPXQMLSLRHGGFCT48DA,15.84,1.44,0.0,無,005
潮州鎮,土地,明崙段357地號,175.46,,鄉村區,乙種建築用地,1100721,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1780000,10145,,0.0,0,,RPTNMLSJIIGGFCT76DA,0.0,0.0,0.0,無,
潮州鎮,房地(土地+建物),屏東縣潮州鎮興美二巷１５號,129.0,,一般農業區,甲種建築用地,1100815,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土構造,1100503,207.75,5,2,4,有,無,10800000,51986,,0.0,0,,RPOOMLSJIIGGFCT98DA,190.1,17.65,0.0,無,
內埔鄉,房地(土地+建物),屏東縣內埔鄉統嶺巷２６６號五樓之３,8.44,,一般農業區,甲種建築用地,1100923,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0881130,25.4,1,0,1,有,有,500000,19685,,0.0,0,,RPROMLSJIIGGFCT66DA,17.54,0.0,0.0,無,006
東港鎮,房地(土地+建物),屏東縣東港鎮興東二街１８號,110.09,都市：其他:住宅區,,,1100824,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0971231,197.85,4,2,5,有,無,11200000,56609,,0.0,0,,RPQNMLTLRHGGFDT67DA,186.69,11.16,0.0,無,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮明德路４４巷２５號五樓之三,40.14,都市：其他:住宅區,,,1100901,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100701,124.79,3,2,2,有,有,6680000,53526,一樓平面,0.0,0,,RPUNMLOJIIGGFDT56DA,77.72,8.87,0.0,有,
東港鎮,房地(土地+建物)+車位,屏東縣東港鎮明德路４４巷２５號三樓之五,40.14,都市：其他:住宅區,,,1091221,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,1100701,124.64,3,2,2,有,有,6400000,51348,一樓平面,0.0,0,,RPVNMLOJIIGGFDT66DA,77.72,8.72,0.0,有,
