鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
新城鄉,房地(土地+建物),花蓮縣新城鄉民有街１８２號,31.06,住,,,1100820,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1100204,80.03,0,0,1,有,有,3200000,39985,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPVNMLLMQHGGFAU17DA,54.23,0.0,0.0,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４９５號,31.06,住,,,1100820,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,1100204,80.1,0,0,1,有,有,3200000,39950,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPWNMLLMQHGGFAU27DA,54.29,0.0,0.0,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４９５號二樓之六,33.2,住,,,1100820,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,86.66,2,2,2,有,有,2500000,28848,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPXNMLLMQHGGFAU37DA,54.65,3.4,0.0,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４９５號二樓之九,33.47,住,,,1100820,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,87.67,2,2,2,有,有,2500000,28516,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPOOMLLMQHGGFAU56DA,55.28,3.55,0.0,有,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉光復路４９５號二樓之十三,33.2,住,,,1100820,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,86.66,2,2,2,有,有,3000000,34618,其他,0.0,500000,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPPOMLLMQHGGFAU66DA,54.65,3.4,0.0,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４９５號三樓之十一,33.2,住,,,1100820,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,86.81,2,2,2,有,有,2500000,28799,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPQOMLLMQHGGFAU76DA,54.65,3.55,0.0,有,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉光復路４９５號四樓之十六,32.94,住,,,1100820,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,100.1,2,2,2,有,有,3000000,28992,坡道平面,13.87,500000,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPROMLLMQHGGFAU86DA,54.1,3.72,0.0,有,
新城鄉,房地(土地+建物),花蓮縣新城鄉光復路４９５號四樓之十八,33.74,住,,,1100820,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,88.94,2,2,2,有,有,2500000,28109,,0.0,0,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPTOMLLMQHGGFAU07DA,54.67,4.38,0.0,有,
新城鄉,房地(土地+建物)+車位,花蓮縣新城鄉光復路４９５號四樓之八,33.2,住,,,1100820,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100204,101.65,2,2,2,有,有,3000000,28383,坡道平面,13.57,500000,政府機關標讓售；預售屋、或土地及建物分件登記案件；,RPUOMLLMQHGGFAU17DA,56.32,3.15,0.0,有,
