鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
台東市,房地(土地+建物)+車位,臺東縣臺東市正氣北路３３９巷１０號五樓之二,47.23,都市：其他:住宅區,,,1100714,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1100624,101.81,3,1,2,有,有,6300000,61880,一樓平面,0.0,0,土地買賣總價新台幣1890000元建物買賣總價新台幣4410000元,RPVOMLQJRHGGFAV67DA,65.94,4.79,0.0,有,
台東市,房地(土地+建物),臺東縣臺東市開封街８０１號五樓,52.4,都市：其他:住宅區,,,1100920,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810903,205.82999999999998,5,2,2,有,無,6300000,30608,,0.0,0,,RPOOMLNLRHGGFAV86DA,159.7,0.0,0.0,有,
東河鄉,土地,高原段298地號,8239.0,,森林區,農牧用地,1100924,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2200000,267,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSLRHGGFBV57DA,0.0,0.0,0.0,無,
太麻里鄉,房地(土地+建物),臺東縣太麻里鄉龍泉路３０之１號十三樓之１３,6.53,都市：其他:旅館區,,,1100901,土地1建物1車位0,十三層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0870306,49.199999999999996,1,1,1,有,有,1100000,22358,,0.0,0,,RPPNMLOLRHGGFDV27DA,30.45,4.85,0.0,有,
大武鄉,土地,西勢湖段390地號,3432.0,,山坡地保育區,農牧用地,1100823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3390000,988,,0.0,0,,RPRNMLKMRHGGFDV17DA,0.0,0.0,0.0,無,01
海端鄉,房地(土地+建物),臺東縣海端鄉初來８０號,2700.0,,山坡地保育區,農牧用地,1100802,土地1建物1車位0,全,一層,透天厝,農業用,有牆鋼鐵造,0960306,224.38,4,2,2,有,無,5500000,24512,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWNMLTLRHGGFCV48EA,224.38,0.0,0.0,無,
成功鎮,土地,小馬東段749地號,5045.7,,風景區,農牧用地,1100902,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5450000,1080,,0.0,0,,RPRNMLOJIIGGFBV88DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣臺東市四維路三段５９巷８號一樓之七,12.9,都市：其他:住宅區,,,1100819,土地1建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830419,99.51,3,2,2,有,有,4980000,50045,,0.0,0,,RPSNMLTKQHGGFAV57DA,76.24,10.79,0.0,有,02
台東市,土地,知本段7489-1地號,992.0,,特定農業區,農牧用地,1100824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,1815,,0.0,0,,RPQNMLLMQHGGFAV76DA,0.0,0.0,0.0,無,03
台東市,房地(土地+建物),臺東縣臺東市連航路５１巷６弄１２號,163.53,都市：其他:農業區,,,1100823,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0841211,422.37,5,2,3,有,有,9400000,22255,,0.0,0,含裝潢費；含傢俱設備費；,RPQOMLLMQHGGFAV86DA,330.56,43.83,0.0,無,04
台東市,土地,梧州段339地號,178.62,都市：其他:道路用地,,,1100910,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5170000,28944,,0.0,0,本案標的有部分為道路用地。畸零地或有合併使用效益；,RPVNMLQKRHGGFAV67DA,0.0,0.0,0.0,無,
台東市,土地,清榮段71地號,513.94,都市：其他:住宅區,,,1100911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27590000,53683,,0.0,0,,RPVNMLMLRHGGFAV37DA,0.0,0.0,0.0,無,
台東市,土地,岩灣段128地號,411.94,都市：其他:住宅區,,,1100802,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4607000,11184,,0.0,0,,RPPNMLQJIIGGFAV78DA,0.0,0.0,0.0,無,05
台東市,土地,岩灣段128地號,214.48,都市：其他:住宅區,,,1100802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7007000,32670,,0.0,0,,RPQNMLQJIIGGFAV88DA,0.0,0.0,0.0,無,05
台東市,土地,岩灣段128-2地號,56.43,都市：其他:住宅區,,,1100802,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1843000,32660,,0.0,0,,RPRNMLQJIIGGFAV98DA,0.0,0.0,0.0,無,
長濱鄉,土地,大俱來段194地號,244.82,,鄉村區,乙種建築用地,1101003,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2221700,9075,,0.0,0,,RPQNMLOJIIGGFBV78DA,0.0,0.0,0.0,無,
綠島鄉,土地,下南寮段443地號,342.4,都市：其他:農業區,,,1100927,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10000000,29206,,0.0,0,土地上有未保存建物住址:台東縣綠島鄉南寮村漁港7-2號二層樓鋼骨造面積327.00平方公尺未登記建物；,RPXNMLRLRHGGFAV08DA,0.0,0.0,0.0,無,
卑南鄉,土地,利家段309地號,640.0,,山坡地保育區,丙種建築用地,1100910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1989588,3109,,0.0,0,地清或未辦繼承標售；,RPQNMLSJIIGGFAV09DA,0.0,0.0,0.0,無,
台東市,土地,永清段237地號,894.49,都市：其他:道路用地,,,1100901,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16300000,18223,,0.0,0,,RPOOMLSJIIGGFAV98DA,0.0,0.0,0.0,無,
