鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
金寧鄉,土地,寧安四劃段248-5地號,250.0,都市：其他:農業區,,,1101004,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4900000,19600,,0.0,0,含土地增值稅或其他稅費；,RPQNMLOJIIGGFAW78DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮湖前２之９號三樓,47.37,都市：其他:自然村專用區,,,1100913,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1030417,90.45,3,1,2,有,無,5800000,64124,,0.0,0,,RPQNMLRJIIGGFAW09DA,77.79,7.5,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２３之３號,43.97,都市：其他:自然村專用區,,,1100912,土地1建物2車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1080225,74.17,2,1,1,有,無,3600000,48537,,0.0,0,,RPRNMLSJIIGGFAW66DA,60.03,3.47,0.0,無,
金湖鎮,土地,湖尚劃段95地號,1796.0,都市：其他:風景區,,,1100918,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,1893,,0.0,0,,RPPNMLMLRHGGFAW86DA,0.0,0.0,0.0,無,
金湖鎮,土地,北五劃段487地號,953.0,都市：其他:國家公園區,,,1100916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4430000,4648,,0.0,0,,RPPNMLQLRHGGFAW27DA,0.0,0.0,0.0,無,01
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡１００之２９號二樓之３,43.61,都市：其他:自然村專用區,,,1101004,土地1建物3車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1031016,77.04,1,1,1,有,無,5070000,65810,,0.0,0,,RPUNMLOJIIGGFAW56DA,60.58,6.18,0.0,無,
金沙鎮,房地(土地+建物),金門縣金沙鎮洋山８８號二樓之１,49.02,都市：其他:自然村專用區,,,1100930,土地2建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1070308,77.97,2,1,1,有,無,3350000,42965,,0.0,0,,RPTNMLNKIIGGFAW09DA,62.98,10.19,0.0,無,02
金寧鄉,土地,寧安二劃段105地號,1000.0,都市：其他:農業區,,,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,4500,,0.0,0,,RPPNMLOKIIGGFAW78DA,0.0,0.0,0.0,無,03
烈嶼鄉,土地,烈濱劃測段16地號,1162.68,都市：其他:農業區,,,1101006,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7500000,6451,,0.0,0,,RPRNMLOKIIGGFAW98DA,0.0,0.0,0.0,無,04
金寧鄉,房地(土地+建物),金門縣金寧鄉東洲７６之１號二樓,57.27,都市：其他:自然村專用區,,,1100928,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040721,139.56,3,2,2,有,有,7500000,53740,,0.0,0,含停車位編號:4號停車空間之使用權。,RPVNMLTLRHGGFAW18DA,81.07,10.97,0.0,有,05
金城鎮,房地(土地+建物),金門縣金城鎮庵前４２之３號,59.08,都市：其他:自然村專用區,,,1100930,土地2建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100312,118.39,3,2,2,有,無,8050000,67996,,0.0,0,,RPSNMLKMRHGGFAW07DA,88.75,10.58,0.0,有,
金寧鄉,房地(土地+建物),金門縣金寧鄉西山５２號四樓,34.51,都市：其他:自然村專用區,,,1100913,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100319,76.1,2,2,2,有,無,4280000,56242,,0.0,0,,RPXNMLNKRHGGFAW67DA,53.54,5.0,0.0,有,
金湖鎮,土地,夏興段259地號,1205.71,都市：其他:保護區,,,1100927,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,1493,,0.0,0,,RPSNMLPKIIGGFAW56DA,0.0,0.0,0.0,無,
金湖鎮,土地,陳坑段876地號,102.0,都市：其他:自然村專用區,,,1101013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1380000,13529,,0.0,0,,RPTNMLSKIIGGFAW96DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡２２６號三樓,50.76,都市：其他:自然村專用區,,,1100914,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1061116,81.91,2,2,2,有,有,4250000,51886,,0.0,0,陽台外推；預售屋、或土地及建物分件登記案件；,RPWNMLPKRHGGFAW77DA,62.76,12.32,0.0,無,
金沙鎮,土地,汶沙測段1031地號,275.0,都市：其他:自然村專用區,,,1101014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7100000,25818,,0.0,0,,RPTNMLOKIIGGFAW56DA,0.0,0.0,0.0,無,
金寧鄉,土地,慈湖段12地號,5123.7,都市：其他:國家公園區,,,1100311,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17000000,3318,,0.0,0,,RPPNMLQJIIGGFAW88DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路１３９號七樓,28.71,都市：其他:第五種住宅區,,,1101009,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1071211,148.78,3,2,2,有,有,10500000,70574,,0.0,0,,RPRNMLNKIIGGFAW88DA,89.63,9.74,0.0,有,
