鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
馬公市,土地,雙湖段933地號,219.23,,鄉村區,乙種建築用地,1100915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4950000,22579,,0.0,0,,RPPNMLPKRHGGFAX17DA,0.0,0.0,0.0,無,
馬公市,土地,五德東段1352地號,741.56,,一般農業區,農牧用地,1100923,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1181000,1593,,0.0,0,,RPTNMLSLRHGGFAX97DA,0.0,0.0,0.0,無,
白沙鄉,土地,岐頭新段100地號,63.23,,鄉村區,乙種建築用地,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,3954,,0.0,0,,RPRNMLKMRHGGFAX07DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物)+車位,澎湖縣馬公市四維路１２５號,28.83,都市：其他:住宅區,,,1100918,土地2建物1車位1,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830831,150.41,4,1,2,有,無,4060000,26993,坡道平面,0.0,0,,RPSNMLQJIIGGFAX66DA,118.67,0.0,0.0,有,
白沙鄉,土地,通梁南段1359地號,1033.22,都市：其他:人行廣場用地,,,1100814,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9500000,9195,,0.0,0,未登記建物；,RPTNMLQJIIGGFAX76DA,0.0,0.0,0.0,無,
馬公市,土地,北極段869地號,68.59,都市：其他:住宅區,,,1100922,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,16037,,0.0,0,買方另支付土地增值稅82456元整親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQJIIGGFAX86DA,0.0,0.0,0.0,無,
馬公市,土地,興崁段485-5地號,55.08,,一般農業區,農牧用地,1100911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,280000,5084,,0.0,0,,RPSNMLPJIIGGFAX56DA,0.0,0.0,0.0,無,
馬公市,土地,海堤段908地號,70.69,都市：其他:住宅區,,,1100910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,742200,10499,,0.0,0,地清或未辦繼承標售；,RPTNMLPJIIGGFAX66DA,0.0,0.0,0.0,無,
湖西鄉,土地,龍門北段319地號,452.56,,一般農業區,農牧用地,1100803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,2873,,0.0,0,,RPSNMLRJIIGGFAX76DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市六合路１３巷９號,20.29,都市：其他:住宅區,,,1100722,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0661104,19.52,4,1,1,有,無,800000,40984,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLNKQHGGFAX86DA,19.52,0.0,0.0,無,01
馬公市,土地,鐵線段655地號,629.03,,一般農業區,農牧用地,1100929,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4147500,6593,,0.0,0,,RPRNMLQJIIGGFAX56DA,0.0,0.0,0.0,無,02
馬公市,房地(土地+建物),澎湖縣馬公市同和路６號,66.73,都市：其他:住宅區,,,1100902,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1000104,181.99,8,1,8,有,無,16200000,89016,,0.0,0,,RPUNMLNLRHGGFAX57DA,174.03,7.96,0.0,無,03
馬公市,土地,興崁段559地號,1362.85,,一般農業區,農牧用地,1100825,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2600000,1908,,0.0,0,含土地增值稅或其他稅費795354元；,RPWNMLKMRHGGFAX57DA,0.0,0.0,0.0,無,
白沙鄉,土地,小赤段4地號,605.52,,一般農業區,農牧用地,1101004,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,7432,,0.0,0,土地增值稅由買方負擔。受債權債務關係影響或債務抵償；,RPOOMLOJIIGGFAX78DA,0.0,0.0,0.0,無,
白沙鄉,土地,小赤段431地號,120.06,,鄉村區,乙種建築用地,1101004,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,780000,6497,,0.0,0,,RPRNMLPJIIGGFAX09DA,0.0,0.0,0.0,無,04
馬公市,房地(土地+建物),澎湖縣馬公市西衛１８４號,375.27,,一般農業區,農牧用地,1100916,土地3建物1車位0,全,一層,透天厝,住家用,造,,8.22,0,0,0,無,無,3073750,373936,,0.0,0,,RPSNMLSJIIGGFAX86DA,5.46,2.75,0.0,無,05
馬公市,房地(土地+建物),澎湖縣馬公市頭掛６１６號,247.07,,一般農業區,甲種建築用地,1100930,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100726,234.92,4,2,4,有,無,8280000,35246,,0.0,0,,RPRNMLMKIIGGFAX88DA,223.29,11.63,0.0,無,
馬公市,土地,四維段267-3地號,257.7,,一般農業區,甲種建築用地,1100909,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3770000,14629,,0.0,0,,RPXNMLMKIIGGFAX86DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物)+車位,澎湖縣馬公市文光路８５號三樓之一,16.85,都市：其他:市場用地,,,1100823,土地10建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870723,175.45999999999998,4,2,2,有,有,6200000,35336,坡道機械,0.0,0,含傢俱設備費；含土地增值稅或其他稅費82683元；含地政士服務費；,RPPNMLRJIIGGFAX56EA,120.82,15.97,0.0,有,
馬公市,房地(土地+建物),澎湖縣馬公市西衛２０４號,14.94,,鄉村區,乙種建築用地,1100731,土地1建物1車位0,全,一層,透天厝,住家用,造,0080000,5.6,5,1,1,有,無,226000,40357,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOKIIGGFAX09DA,5.6,0.0,0.0,無,06
馬公市,房地(土地+建物),澎湖縣馬公市鐵線尾８５之１號,206.21,,一般農業區,甲種建築用地,1100806,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1091126,275.4,5,1,5,有,無,10000000,36311,,0.0,0,,RPVNMLRJIIGGFAX07DA,247.72,27.68,0.0,無,
西嶼鄉,土地,大池段1382地號,213.12,,鄉村區,乙種建築用地,1100924,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,4692,,0.0,0,,RPPNMLSJIIGGFAX56DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物)+車位,澎湖縣馬公市西衛１３９號二樓之２,39.96,,鄉村區,乙種建築用地,1100916,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100723,132.33,3,1,4,有,有,5980000,45190,一樓平面,0.0,0,,RPSNMLMKIIGGFAX98DA,85.98,4.31,0.0,有,
望安鄉,房地(土地+建物),澎湖縣望安鄉花宅１３９號,20.62,,鄉村區,乙種建築用地,1100907,土地1建物1車位0,全,一層,透天厝,住家用,造,0060000,15.32,0,0,0,無,無,174000,11358,,0.0,0,地清或未辦繼承標售；,RPSNMLRLRHGGFAX87EA,15.32,0.0,0.0,無,07
望安鄉,房地(土地+建物),澎湖縣望安鄉花宅１３９號,20.62,,鄉村區,乙種建築用地,1100907,土地1建物1車位0,全,一層,透天厝,住家用,造,0060000,15.32,0,0,0,無,無,174000,11358,,0.0,0,地清或未辦繼承標售；,RPTNMLRLRHGGFAX97EA,15.32,0.0,0.0,無,07
馬公市,土地,五福段287地號,564.69,,一般農業區,農牧用地,1100927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2900000,5136,,0.0,0,地清或未辦繼承標售；,RPPNMLPKIIGGFAX09EA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市西衛１８４號,375.27,,一般農業區,農牧用地,1100908,土地3建物1車位0,全,一層,透天厝,住家用,造,,8.22,0,0,0,無,無,3073750,373936,,0.0,0,,RPUNMLNKIIGGFAX66DA,5.46,2.75,0.0,無,05
馬公市,房地(土地+建物)+車位,澎湖縣馬公市文明路１０１巷３號,85.68,都市：其他:住宅區,,,1100810,土地1建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0820115,228.57,3,2,3,有,無,6700000,29313,坡道平面,0.0,0,,RPWNMLNKIIGGFAX86DA,154.82,3.78,0.0,無,10
望安鄉,房地(土地+建物),澎湖縣望安鄉花宅１３９號,20.62,,鄉村區,乙種建築用地,1100907,土地1建物1車位0,全,一層,透天厝,住家用,造,0060000,15.32,0,0,0,無,無,174000,11358,,0.0,0,地清或未辦繼承標售；,RPUNMLRLRHGGFAX08EA,15.32,0.0,0.0,無,07
馬公市,土地,興崁段975地號,2320.73,,一般農業區,農牧用地,1100927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,82772000,35666,,0.0,0,權利人共11人土地交易案件之價格含未來興建房屋成本；,RPTNMLNKIIGGFAX56DA,0.0,0.0,0.0,無,12
白沙鄉,土地,港子段1772地號,2004.0,,一般農業區,農牧用地,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5980000,2984,,0.0,0,,RPRNMLRJRHGGFAX47DA,0.0,0.0,0.0,無,
湖西鄉,土地,南寮北段1381地號,693.79,,一般農業區,農牧用地,1100927,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1260000,1816,,0.0,0,,RPPNMLQJIIGGFAX98DA,0.0,0.0,0.0,無,
湖西鄉,土地,成功南段1071地號,208.45,,一般農業區,農牧用地,1101004,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6500000,31183,,0.0,0,土地交易案件之價格含未來興建房屋成本；,RPTNMLRJIIGGFAX86DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市東衛３１７之５號,298.36,,一般農業區,甲種建築用地,1100930,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0940124,206.68,3,2,4,有,無,8500000,41126,,0.0,0,,RPRNMLRJIIGGFAX66DA,198.7,7.98,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市西衛１３９號三樓之１,30.39,,鄉村區,乙種建築用地,1100916,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100723,99.21000000000001,2,1,2,有,有,4330000,43645,,0.0,0,,RPVNMLMKIIGGFAX66DA,65.72,11.96,0.0,有,
馬公市,房地(土地+建物)+車位,澎湖縣馬公市西衛１３９號三樓之２,39.96,,鄉村區,乙種建築用地,1100916,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1100723,132.39,3,2,2,有,有,6080000,45925,一樓平面,0.0,0,,RPWNMLMKIIGGFAX76DA,85.98,4.37,0.0,有,
